Strain_ID	Sampling_Date
SCB0695	2013
LJJ	2011
TCI904	2019
L99	2013
LDB-C1	2018
1363	2022
1271	2022
771	2022
2363	2022
KLDS1.0207	2009
KLDS1.1011	2009
2465	2022
2461	2022
2371	2022
2261	2022
2062a	2022
1963a	2022
1281	2022
AHQ-14	2021
AUSA004	2023
CGMCC-14177	2017
CYLB561	2022
DMDL-9010	2011
DSM-20174	1990
G2	2022
HOM2217	2020
IS-10506	2000
KCKM-0597	2016
Lap	2024
LP06	2024
LP140	1998
LP45	2011
Lrld-22	2023
MSJK0048	2022
MY04	2020
NCU116	2000
OBM7	2024
P9	2008
RS20D	2016
ST	2016
SYBC-SM3	2022
TCI837	2020
UNQLp11	2012
V2	2024
YY-112	2019
ZY-1	2008
W182	2021
ZW18	2012
HL1	2006
LKK75	1988
1207	2015
DSM-20249	1970
DSM-20184	1983
SPC-SNU-70-4	2021
ATCC-393	1972
1.0320	2007
DSM-20314	1975
ATCC-4356	2017
DSM-20072	1990
ATCC-33323	1990
NCK2677	2019
14B4	2014	
DSM-20019	1965
FLUB	2018
ATCC-4005	2016
ATCC-8293	1990
DSM-20484	1983	
B4311	2009
EFEL6800	2023
DSM-20016	1972
PMC65	2019	
ATCC-19258	2016
FNZ042	2024
ZW3	2011
362.5013889	2013
JCM1004		2021
GRL1118	2021
KW2	2013
CBA3614		2019
NCTC13768	2014
ATCC-25745	2006
