	1.0320	1207	1271	1281	1363	14B4	1963a	2062a	2261	2363	2371	2461	2465	362.5013889	771	AHQ-14	ATCC-19258	ATCC-25745	ATCC-33323	ATCC-393	ATCC-4005	ATCC-4356	ATCC-8293	AUSA004	B4311	CBA3614	CGMCC-14177	CYLB561	DMDL-9010	DSM-20016	DSM-20019	DSM-20072	DSM-20174	DSM-20184	DSM-20249	DSM-20314	DSM-20484	EFEL6800	FLUB	FNZ042	G2	GRL1118	HL1	HOM2217	IS-10506	JCM1004	KCKM-0597	KLDS1.0207	KLDS1.1011	KW2	L99	Lap	LDB-C1	LJJ	LKK75	LP06	LP140	LP45	Lrld-22	MSJK0048	MY04	NCK2677	NCTC13768	NCU116	OBM7	P9	PMC65	RS20D	SCB0695	SPC-SNU-70-4	ST	SYBC-SM3	TCI837	TCI904	UNQLp11	V2	W182	YY-112	ZW18	ZW3	ZY-1
1.0320	1.0	0.034970832868068576	0.030932245645281596	0.030894913869321496	0.030689693361429654	0.023308982443333383	0.029849330352045247	0.030188393479497536	0.030772720468907885	0.030205960684278953	0.03077388399164009	0.030580017109823034	0.030305481678547193	0.4435632849772376	0.03103858530051946	0.06323453164316144	0.022103381404885887	0.04857433404330965	0.03628885487807559	0.4486217087204149	0.05206390026825363	0.03518718894326903	0.02801860816439967	0.061709416032612305	0.04575789470750499	0.07235151539367368	0.061762213513738604	0.06330836055642612	0.06361186669462623	0.03843018307615695	0.07307982745256424	0.03256628637194278	0.06388147389919836	0.050305410040274764	0.04992077505802141	0.06315113733308057	0.02723652659356619	0.03795443435511941	0.053908822083971845	0.06325061284154086	0.06325359486772493	0.03518585600049421	0.035117843733479204	0.06323544321216477	0.061703127907292155	0.03655855413680643	0.06359337257941694	0.03120218487463582	0.030861876066493234	0.023303558198782805	0.031571674905246115	0.0627319612206678	0.03184115271336545	0.03101621565288796	0.03425602387142527	0.060201859920032366	0.06363092468346991	0.061167948480094575	0.06362983559422779	0.06322380015884066	0.06096301750540023	0.036458611609338075	0.04953310488355651	0.06494927354365153	0.061709114284908606	0.06096573036754515	0.049911732344294774	0.06269354753925187	0.03179971972527632	0.03408681621468565	0.06207085380940511	0.06363631682996433	0.063010176312468	0.031009415535708577	0.06251035931451449	0.061709416032612305	0.03428718671622071	0.06280928844148202	0.034328876218414114	0.034126638752089794	0.060793052004412235
1207	0.047067161649003104	1.0	0.14612252448184285	0.14915537630715514	0.14650940083498046	0.02925994412517982	0.14789591714881667	0.14761879960865612	0.15100145699783	0.14443488833487467	0.15130317166880375	0.14749431192371312	0.14697582137370205	0.05446535333780367	0.14682136116307565	0.0559071688458758	0.025997052844260626	0.054699280082761106	0.2596909030274296	0.046422341715990446	0.05276664504457904	0.4834967727671262	0.03225602053879945	0.054465157733215586	0.07310654648272281	0.0567198337445864	0.05436844301812498	0.05585483987538108	0.0550103773176088	0.06866718425039153	0.05424576343192632	0.14674796982072136	0.05528378571284144	0.0753597822128763	0.07127027698279442	0.054360388035109335	0.03197711179390215	0.039879402140442465	0.0551171743518203	0.05584329433577565	0.055904890003354725	0.487016479226874	0.9101060826106357	0.05590857122379777	0.054465157733215586	0.5200332543976619	0.05479616130065255	0.14902743532647886	0.1537251939679102	0.029885187396732446	0.14880922943220087	0.05414806331884464	0.1478040398193434	0.15745108501591146	0.8744407086371145	0.054661087318400005	0.05521725759371704	0.05275769340473992	0.0552159350325924	0.05449548620719472	0.05457480593787839	0.25761546712800965	0.04301026849418081	0.05633267657170573	0.05446471147414356	0.05437581235000436	0.04470493067807597	0.05586710864060167	0.1581363070652597	0.05056684290071707	0.05525980731599863	0.055046569316753786	0.05584669992717802	0.14924758274149663	0.0554099818427904	0.054465157733215586	0.8757271542992493	0.054460949734064006	0.8754765596652853	0.8727719433109308	0.05431828195734778
1271	0.04370386096982013	0.1714927509305495	1.0	0.9136107658589745	0.9743420710642187	0.015677489791703803	0.9198287418636841	0.9033840026959726	0.9110767122610569	0.8621954367864004	0.9152943175598587	0.9084369057373949	0.9054197261290228	0.04641140143964077	0.8867482406141713	0.043295413850468735	0.020036185374000533	0.030545651306905477	0.11879738338143234	0.045455171472407595	0.04202163491889752	0.15104774239335353	0.019613618936434006	0.043333744526401846	0.03634324875741588	0.03995947079489907	0.043029092914876395	0.042284719913354925	0.042892164286790935	0.04138685139470728	0.04053156926467745	0.7728704595735669	0.043341692383714166	0.04424883581116653	0.03817483139466354	0.04720514320671946	0.01944318105669676	0.06846539178027006	0.03332117490681134	0.0434737805944311	0.04347350859737832	0.184893558282396	0.1735124794577581	0.043295413850468735	0.043333404941019935	0.17038767749897538	0.043125304159103886	0.8878539849464436	0.882218348512444	0.016832513421247842	0.8776349929204751	0.04267958470108251	0.859609493029834	0.869443312239833	0.16856260013275365	0.04264741715053905	0.043341483962627936	0.04392267954314531	0.043341483962627936	0.04299783077622061	0.04228103134978186	0.11424320044195573	0.03571206518546331	0.04278642832544502	0.043333744526401846	0.0427441048598156	0.03548008775440026	0.0426617769646041	0.77101401224775	0.0242466381929628	0.043955443367787235	0.042736637319180364	0.04347299652044555	0.8651147946788488	0.04320063864922933	0.043333744526401846	0.1682033637666247	0.042297192179141456	0.16850141087973017	0.16805269661437414	0.04279657582805634
1281	0.04400266585353649	0.16996080957150533	0.9170458488416187	1.0	0.9164727836514351	0.01353187238585963	0.9557702712091654	0.9153205811353479	0.9228195288825763	0.864571059021751	0.92616839371192	0.9203750562297351	0.9177003927967604	0.04530363367907039	0.8758063000937636	0.04522658761270956	0.021353009866416205	0.029437366640107092	0.1159153573866901	0.045666150823215276	0.04247466421427985	0.1471675634289146	0.01926317207048012	0.04422401996021073	0.03429645902495832	0.040205530546817976	0.044220957409445094	0.04428984589954375	0.04458324007447118	0.037762113144659624	0.04093978038911122	0.7750516015017521	0.04462168793232026	0.04134430554197824	0.03514694700053316	0.04952262247054447	0.019885765211867308	0.06564364412662824	0.03491879835952834	0.04562062181830941	0.045619115514187236	0.18169158575095404	0.17354703979369285	0.04522658761270956	0.04422363179898993	0.16897824949570545	0.044899633492394994	0.8868521724207343	0.896848640744042	0.015172213397502545	0.8835270683353318	0.044307279332019125	0.8554046410955398	0.8846952583348423	0.16857626516957577	0.04431338565322565	0.04491567406077063	0.04500567503077562	0.04491487160826566	0.044283671035569516	0.044927082809496394	0.11077070662826537	0.03632761967221099	0.044591969724943205	0.04422401996021073	0.04391857039864155	0.03841035565830027	0.0442821535395772	0.774578510347238	0.02457350103979436	0.04527130833699407	0.04459085469902954	0.04562045516760331	0.8850178398301364	0.04519467761136735	0.04422401996021073	0.16862722375951225	0.044319680194203806	0.16839602574136422	0.1682211457384293	0.044004516144829815
1363	0.042409054307145755	0.17149199935239512	0.9699915945311874	0.9087836447421612	1.0	0.012527262143407278	0.908994314007857	0.9123757416398329	0.9182671019249927	0.8609836893235937	0.9218266976340295	0.9130730592633497	0.9116955722712315	0.04595238149719241	0.8803370725612091	0.04363094018398514	0.01876723348584893	0.028858594424538607	0.11317968606756498	0.04458006030282868	0.04243803513898505	0.14760098382797812	0.016174723824823867	0.043037264995701936	0.032033519089923246	0.03665237353400495	0.042989719182945654	0.043299268061997166	0.04401595540311978	0.0345324049450746	0.0368596133732713	0.771060479312436	0.04306080940530905	0.03998672871154167	0.03435475723505763	0.04722156490090951	0.016101040136448048	0.06271498230545129	0.03270590382977023	0.043990982063741794	0.04396837886387132	0.1809444092169721	0.17595853784626003	0.04363094018398514	0.04303685755060641	0.17065054613560396	0.04323304565747377	0.8929546838667084	0.8853150058141608	0.014147219026715738	0.8758182923532474	0.043295386880434175	0.8592822396976734	0.8703731974558246	0.16888398817967284	0.042570410463357924	0.04341099633022324	0.043657210550588486	0.04341099633022324	0.043584234887058815	0.04293674260976709	0.10900747864337476	0.03545992490753171	0.04307114714272994	0.043037264995701936	0.04298711019494255	0.035217089278305636	0.04332507679254882	0.7670955961187599	0.021696418971617903	0.043315213832417924	0.04307029665291439	0.04399696685141389	0.8727246471721426	0.04320629712146534	0.043037264995701936	0.169164704658981	0.04357568144261607	0.16956184409602326	0.16915815776124768	0.04303611281345037
14B4	0.025738114089523617	0.026150116931080637	0.015089977228114646	0.015161380051967724	0.015091269698141976	1.0	0.01414199701257639	0.01520776695181171	0.015211071018656187	0.014949088078843235	0.015205416795668258	0.015203547746599832	0.01520776695181171	0.027265879899092068	0.015185888540088127	0.029793346838060838	0.06873047715610375	0.036996300671755626	0.028931414561384535	0.023748864991863912	0.025454614276091213	0.029754625148501933	0.036223246786807654	0.028894450514391188	0.04192746982614009	0.03662378773636213	0.028893462561012488	0.029986581274732183	0.029695581427468875	0.030882919860494795	0.0354537623783436	0.015243749709583492	0.02924968333591369	0.036663424900073655	0.03706591892757734	0.027489386784210652	0.034175967936164175	0.018034551000605477	0.02828814031904775	0.029213032571674596	0.029213382037369055	0.026231853644716134	0.02535635165349998	0.029793788457434568	0.028894917363709253	0.027063451445455397	0.029624373580722254	0.01615487474032748	0.01593614319501144	0.6115295655544261	0.015461909557804234	0.028020812493908948	0.015484190909842455	0.015325197293191796	0.025389906127297465	0.028769350177936404	0.028611214100789595	0.028580246820539702	0.028610441814113475	0.029629712836634507	0.028010500518751806	0.030091510476641485	0.026411710706203125	0.029283086411710457	0.028894102119377707	0.028500763594673656	0.029293038020923725	0.028652542589998657	0.015990363215177546	0.030583960497332592	0.0289778121650791	0.029282792285008127	0.028940642721409244	0.015269154640603496	0.029401042848128906	0.028894450514391188	0.02539224794550351	0.029773780732664155	0.02539224794550351	0.025192817463492213	0.029596704149009494
1963a	0.04447647125057277	0.17164815718812867	0.9255041937476037	0.95975938833065	0.921027133252962	0.014504745680373705	1.0	0.9106753277678923	0.9197733214532738	0.8618533199234265	0.9254803022392952	0.917686518144261	0.9128433138570935	0.04399496907700296	0.8833092519274321	0.043722200215281865	0.0196194691152837	0.02803775951842817	0.1155242721923115	0.043401807943722816	0.04130940596974809	0.14366315261703844	0.017325142181548757	0.043525024948436644	0.033020670365230674	0.0384893613689447	0.04342841769280212	0.04275640039052702	0.04345424974761897	0.035306979873403185	0.03834651978399028	0.7834398087489457	0.0436762602834601	0.03895528447163084	0.03521024085071462	0.04839444242656967	0.01730889299193091	0.06364949613287418	0.033083783352762366	0.0439185996273486	0.04363353980220888	0.1816381467043751	0.17306586307532523	0.043722200215281865	0.043524662012271315	0.17356377681824062	0.04333667594812036	0.8824929119891067	0.8962106717077114	0.014620259533711898	0.8859939382310366	0.04347400120886059	0.8621689768620308	0.8811752199385118	0.1679694474526644	0.043496291468485423	0.0436838125265786	0.04416052815360407	0.04368300771040029	0.04405925234735753	0.04298998996166088	0.11423210683117882	0.032424856948276376	0.04342917432954497	0.043525024948436644	0.04342484103911421	0.03339410705639002	0.043633659684259675	0.788325396656527	0.022510872906310486	0.04410694448466058	0.04341055069222492	0.04391788441950852	0.8793264498444284	0.04368816212042279	0.043525024948436644	0.16798334389598807	0.043609755497622874	0.16798266220992164	0.1678861738911469	0.042885287581472344
2062a	0.044910467649559395	0.16879955230024818	0.8841507896231713	0.8882413463960678	0.8945924313651641	0.017033253861717793	0.8871832343789794	1.0	0.9646320168475119	0.8301864498328565	0.9673381069197954	0.9650620564347525	0.959344047079552	0.04668041896002043	0.8649088117497321	0.04339166274044321	0.02038916051500682	0.030781913671786544	0.10818009140803352	0.04506002136993874	0.0401183292586388	0.14065844533785532	0.01880476444609762	0.04340089354905836	0.0340113751503434	0.03960903654209882	0.043402818681448734	0.04249125060980408	0.04316026969302766	0.03819401764736595	0.03933161913530264	0.7506613697740494	0.04282547177018434	0.03979186134675079	0.035669837506884884	0.047628997656953526	0.01937268339439755	0.06192938408448111	0.03590832510094585	0.04369893529699552	0.043698592454891536	0.17140363629360786	0.1710764117535632	0.04339166274044321	0.04340052009838018	0.16388213949230812	0.04281934562571885	0.8696627162156436	0.8694343678449137	0.017950518329752946	0.8632189358521372	0.043113641830468105	0.8445480860108731	0.8516507291806216	0.16422199973551468	0.043019359907913446	0.043111905986611125	0.043229563397511175	0.043111905986611125	0.043164005406373586	0.04283015635142403	0.1094193045103957	0.037218061899512773	0.043212256323682544	0.04340089354905836	0.043126370540580224	0.03718156602384413	0.042929302950906426	0.755235371172076	0.022406861181989524	0.04333082115845365	0.043212245604315504	0.04337766987490645	0.8620739683460833	0.04317026640173489	0.04340089354905836	0.1641386398908632	0.04289054642328323	0.16455643821135826	0.16415236643323627	0.04399462158569293
2261	0.04452152055784374	0.16872358413138794	0.8888266545469339	0.8918987467743281	0.8984976467730048	0.01522211190384268	0.8914104046090493	0.9587687075737337	1.0	0.8271636362770066	0.9797199416699717	0.9613070170706074	0.9621265216133729	0.04346739790295598	0.8689714745814517	0.041378254166397004	0.01842847179066663	0.029649598049527777	0.11567068037458542	0.045589759586828996	0.03820059844553109	0.14451803913562933	0.0180376387463828	0.04169238834858273	0.03428005284747344	0.0371592493828662	0.041626456847438105	0.04069800324466737	0.041116360487828116	0.03729972871508305	0.036319776940603954	0.7535118854562005	0.041105848616680055	0.03761092285301661	0.03380050690473568	0.04571713886007468	0.018400059570625543	0.06353003489266264	0.03299885146011379	0.04165737678573243	0.041656711129489744	0.17891991494371473	0.17297445221278893	0.041378254166397004	0.04169202282501806	0.16688436462081283	0.04110235155094309	0.8708767142835876	0.8747058733513274	0.015361988002155276	0.8642602729380432	0.041120804544645846	0.8501938785552599	0.8573542656357611	0.16432772273552812	0.04142984985228339	0.04137314034119693	0.041373055121747646	0.04137236126670669	0.04115484841978854	0.04140144713998284	0.11308591248156474	0.0318459830598414	0.04141881541411608	0.04169238834858273	0.041623542811128726	0.0354669927246907	0.04139857056141611	0.7677438090689109	0.02262606919047313	0.04138676453194495	0.04206538874446071	0.04165673578368593	0.8642780612796849	0.04085525285612392	0.04169238834858273	0.1642418520439943	0.04114354291549581	0.1640497181908191	0.16366453823356725	0.04134782974967585
2363	0.04587081477507706	0.1737347888454069	0.8783208872238444	0.8745756350371491	0.8785026661605857	0.014494098892480024	0.8759550228962996	0.862346286557394	0.8680645072259258	1.0	0.871098265963743	0.8657467721048803	0.8650461892558897	0.04788896310372297	0.871500660663506	0.043381242331288795	0.020216911605781977	0.03003183550193136	0.1161181215467003	0.04583680631600957	0.042527316207642996	0.14608580868668578	0.019261043827491435	0.04275627293717436	0.03068347679926418	0.038050787639834646	0.042755569666948275	0.0423218079529899	0.043037686282256044	0.03532158432151103	0.03881908355814066	0.7596423390052407	0.043026550040141276	0.04075040810074929	0.03502210087059481	0.04676654207670375	0.019194702302084858	0.06643628265196093	0.0346043376660145	0.04264061626386801	0.04264041917586943	0.18130415155267063	0.17451591004663797	0.043381242331288795	0.042755927385314904	0.1723044342132212	0.043600202516747906	0.8658329693701478	0.8700675760421612	0.01607928801381138	0.8578809921905773	0.042676383577695765	0.8568143338310639	0.8541354247555807	0.17005931512118538	0.0411558021567613	0.04302284321511972	0.04263509963991574	0.04302284321511972	0.04302246239841285	0.04184635189947303	0.11368912353804583	0.03588459851071592	0.04268469165816074	0.04275627293717436	0.0427512658664312	0.03833437364616529	0.042988303855317926	0.766311689335339	0.02314323479892497	0.042405646337185805	0.0426837204908262	0.042640434834632396	0.8591433981383493	0.04297346757724622	0.04275627293717436	0.1696846304394656	0.04330994832336239	0.17043220605755965	0.1692348200485952	0.04327531089025037
