,1.0320,1207,1271,1281,1363,14B4,1963a,2062a,2261,2363,2371,2461,2465,362.5013889,771,AHQ-14,ATCC-19258,ATCC-25745,ATCC-33323,ATCC-393,ATCC-4005,ATCC-4356,ATCC-8293,AUSA004,B4311,CBA3614,CGMCC-14177,CYLB561,DMDL-9010,DSM-20016,DSM-20019,DSM-20072,DSM-20174,DSM-20184,DSM-20249,DSM-20314,DSM-20484,EFEL6800,FLUB,FNZ042,G2,GRL1118,HL1,HOM2217,IS-10506,JCM1004,KCKM-0597,KLDS1.0207,KLDS1.1011,KW2,L99,Lap,LDB-C1,LJJ,LKK75,LP06,LP140,LP45,Lrld-22,MSJK0048,MY04,NCK2677,NCTC13768,NCU116,OBM7,P9,PMC65,RS20D,SCB0695,SPC-SNU-70-4,ST,SYBC-SM3,TCI837,TCI904,UNQLp11,V2,W182,YY-112,ZW18,ZW3,ZY-1
1.0320,1.0,0.7137428481012656,0.7177625000000001,0.7174622142857144,0.7177110071942446,0.7114207339449541,0.7151959558823531,0.7182069343065695,0.7170133571428572,0.7167177372262773,0.7170234285714285,0.7172846043165468,0.7178110869565218,0.7758345148401826,0.717017304964539,0.7129580555555555,0.7135145098039216,0.7164901826484018,0.7124086666666666,0.7948835084646818,0.7149925210084034,0.7109125465838508,0.7069838759689923,0.7132260854092526,0.7134565238095237,0.7159027659574468,0.7131022064056939,0.713172673611111,0.7125014482758621,0.7167927167630057,0.7165220180722891,0.720215684931507,0.7121586643835616,0.7154124017467249,0.7153410176991151,0.7138236111111113,0.7082214400000001,0.7143557558139536,0.7125223481781374,0.7129535416666666,0.7129789583333332,0.7107928571428572,0.7139345911949687,0.7129683333333334,0.7132402846975088,0.7093849404761903,0.7128860689655171,0.7177695744680851,0.7185613669064749,0.71192,0.7169064335664335,0.7135494055944055,0.7162304137931035,0.7182774285714286,0.7145632258064517,0.7147387226277373,0.7121048109965636,0.7143243165467626,0.7120980412371134,0.7133757291666666,0.7140601083032492,0.7116849700598802,0.7131941777777778,0.713039695945946,0.7132225978647686,0.7139156317689529,0.7146752863436124,0.7127183566433567,0.7174986013986013,0.71058012987013,0.7133923404255319,0.7128920344827586,0.7130083972125436,0.7180690714285715,0.7133430985915493,0.7132260854092526,0.7146051612903227,0.7137555244755247,0.7149269677419353,0.7149875974025973,0.7141195306859204
1207,0.7150237820512819,1.0,0.7279903846153846,0.7272081628392484,0.7275248827292111,0.7172814432989689,0.7269379621848739,0.7273156329113925,0.7274661983471075,0.7273087688984882,0.7273400000000001,0.7271606765327697,0.7274980084745764,0.7118403825136612,0.7284714712153517,0.7120447593582888,0.7244109411764706,0.71001043715847,0.7433493008739076,0.7139732903225806,0.7148639655172414,0.7987741874527591,0.7158062385321101,0.7108307142857144,0.7124137860082305,0.7150437037037038,0.7105176373626375,0.7100235294117647,0.7107135869565218,0.7162530701754386,0.7148867403314917,0.7212856751054852,0.7109042702702703,0.7125924302788844,0.7157190254237287,0.712761270718232,0.7158474074074074,0.7151951908396947,0.7145674175824176,0.7102674331550803,0.7102522994652406,0.8054024678274034,0.9932940452907876,0.7120626203208558,0.7108307142857144,0.8371292290748898,0.7106456830601092,0.728016155462185,0.7327716564417177,0.7157512871287129,0.7291144421052631,0.7105017679558013,0.7251779201680673,0.7312211133200794,0.9931965026737968,0.7122892349726776,0.7106610270270269,0.710884715909091,0.7106610270270269,0.7106741758241759,0.7118424725274726,0.7417967587939698,0.7150849305555554,0.7124110106382979,0.7108248901098903,0.7105189010989013,0.7176361224489796,0.7133055614973263,0.7204950880626223,0.7150518934911243,0.7100988648648648,0.7110914130434783,0.7103107486631016,0.7245448648648649,0.7101731891891894,0.7108307142857144,0.9931241644420716,0.7110478021978023,0.9931072115384616,0.9928630530262454,0.7109557692307692
1271,0.6963019199999999,0.7236713303769401,1.0,0.9953859898798229,0.9986964874551972,0.6973257777777778,0.9957390194846008,0.9931208975175048,0.993262074636306,0.99202251497006,0.9931811335012596,0.9932998670044332,0.9932499047619048,0.6946756390977444,0.99280941596366,0.6961446280991735,0.7004732142857144,0.689325172413793,0.7090210625000001,0.6983653488372094,0.694676186440678,0.7119424938271606,0.6940016071428572,0.696042561983471,0.6934108737864078,0.6925468141592921,0.6962962500000001,0.6971758474576271,0.696613,0.6965496551724139,0.6937518421052632,0.9766674221578568,0.6959395867768595,0.69448952,0.6946897222222223,0.6992560902255639,0.6940653571428571,0.7150575268817204,0.6945002150537632,0.6958831967213115,0.6958724590163935,0.7195820286885247,0.7228536323851203,0.6961446280991735,0.6960371074380164,0.7374988584474885,0.6964450833333333,0.9921146731391588,0.9921911335504886,0.6951485416666666,0.9916705824607328,0.6967925210084035,0.9897618562874252,0.9917689841688656,0.721792584269663,0.6967041176470589,0.6959426446280991,0.6954383739837399,0.6959426446280991,0.6967014166666666,0.6965161016949152,0.7092469805194805,0.6977493069306931,0.6966335294117646,0.696042561983471,0.6965489075630251,0.7000128999999999,0.6969126050420168,0.9762141351744188,0.6875301449275363,0.6954081300813009,0.6966289075630252,0.6958642622950818,0.9916736960849372,0.6963661983471076,0.696042561983471,0.7219250225225226,0.6973419491525422,0.7217183146067415,0.7215872072072073,0.69657125
1281,0.6975730894308942,0.7211457432432434,0.9951821075949364,1.0,0.9950608043065232,0.7083552631578948,0.9986517948717948,0.9926691876574308,0.993133951158422,0.9923593929286192,0.9930578763272954,0.9929401505646174,0.9928645283018868,0.6961894488188973,0.9927855408970976,0.6976631496062993,0.6970111666666666,0.696679268292683,0.7067813183279743,0.6984760156250002,0.6978535593220339,0.7111172493573266,0.6966777777777778,0.6982934677419357,0.6984789583333334,0.6916981578947369,0.6982514516129033,0.6987173387096774,0.6979502399999999,0.7020395192307691,0.6929615517241379,0.9770897826086956,0.6979551200000002,0.6988493965517241,0.6986629591836734,0.6998476258992805,0.6942962500000001,0.7184840677966102,0.6990832291666668,0.6970499218750001,0.6970207812500001,0.7175804201680671,0.7225449889624723,0.6976631496062993,0.6982873387096776,0.7351836342592594,0.6977329365079367,0.9919639167208848,0.9918069710610932,0.7026611627906978,0.9919164813603664,0.6978336290322581,0.9903215477792732,0.9918139153094464,0.720424149659864,0.69799935483871,0.697595634920635,0.6977033333333331,0.697595634920635,0.6978916935483871,0.6973865873015873,0.7099660338983051,0.6979848039215688,0.6985020000000002,0.6982934677419357,0.698168780487805,0.7007902803738318,0.6979183870967742,0.976685992727273,0.692047536231884,0.6969555118110238,0.6984971200000001,0.6970412500000001,0.9916390944625408,0.6978767716535432,0.6982934677419357,0.7204577551020408,0.6981364516129033,0.7205128181818182,0.720220068181818,0.6987683739837399
1363,0.6944251260504203,0.7190484140969163,0.9986652449223418,0.9948688473717544,1.0,0.7009633333333334,0.994861380620646,0.9935780163214062,0.9936639899937462,0.9917962549800796,0.9936786666666666,0.993591940954774,0.9935697800125708,0.6924802307692309,0.9925849642160052,0.6946565573770493,0.6986081132075472,0.6925303703703704,0.7070030819672131,0.695818306451613,0.6918025210084034,0.7096240404040404,0.6933021739130435,0.69537875,0.6951369662921348,0.692699019607843,0.6953223333333334,0.6949971074380165,0.6942752032520326,0.6977661458333334,0.6931685294117647,0.976860238095238,0.6952205833333334,0.6990523214285714,0.6960792631578948,0.696755112781955,0.6933158695652173,0.7160130769230769,0.6974945054945054,0.694731951219512,0.6947319512195123,0.7172647599164929,0.7185098715203428,0.6946565573770493,0.6953721666666667,0.7356113181818181,0.6950676859504132,0.992080512491992,0.9922123966408268,0.6997529268292685,0.9918491383812011,0.694896611570248,0.990329874005305,0.9920150098489824,0.7170003340757239,0.6957861344537816,0.6949440495867768,0.6953086065573771,0.6949440495867768,0.6947716393442623,0.6954606666666667,0.7086618707482993,0.6964895999999999,0.6952657500000001,0.69537875,0.6953507499999999,0.6973095918367347,0.6951629752066115,0.9762649854651164,0.6931649180327868,0.6949283471074382,0.6952648333333333,0.69468243902439,0.9922086435124507,0.6953714876033057,0.69537875,0.7169863111111111,0.6948059836065573,0.7167085144124168,0.7170088666666667,0.69561675
14B4,0.7225476699029126,0.7216878846153847,0.7565170175438597,0.7564650877192982,0.7566994736842103,1.0,0.7535137037037037,0.7575486206896552,0.7577863793103449,0.7544245614035089,0.7574315517241379,0.7573384482758622,0.7575486206896552,0.7174095454545454,0.7569119298245613,0.7199924369747899,0.7366801865671643,0.7225364383561643,0.7230277586206895,0.7234410526315788,0.7226665686274509,0.7205012605042016,0.7129447972972973,0.721181652173913,0.719047619047619,0.7222721917808219,0.7212267826086955,0.7182091666666665,0.7201667796610168,0.718209918699187,0.7255362142857144,0.7534768965517242,0.7212887068965516,0.7169582312925171,0.7176634666666668,0.7212890825688075,0.7152534532374101,0.7364401449275363,0.7207219642857142,0.7206329310344826,0.7206415517241379,0.7237113461538462,0.7233961386138614,0.7200031092436973,0.721193304347826,0.7271557547169811,0.7197120338983051,0.7502219354838708,0.7508655737704918,0.8624444311377245,0.7540157627118644,0.7227635135135135,0.7523854237288136,0.7556203448275862,0.7235131683168318,0.7237106140350876,0.7214493859649121,0.7218752631578947,0.7214299122807017,0.7193065254237285,0.7227938738738738,0.7238477499999999,0.7240423076923077,0.7209475862068965,0.721172956521739,0.7219461061946904,0.7248456034482758,0.7212083333333333,0.7542193442622951,0.7192859504132231,0.7203764347826085,0.7209403448275862,0.7206957391304347,0.7545446551724139,0.7202424786324787,0.721181652173913,0.723579900990099,0.7195128571428572,0.723579900990099,0.7242822000000001,0.7198873728813558
1963a,0.6923656451612902,0.7209688340807177,0.9958304927353128,0.998714082007344,0.9954013451776648,0.6947077500000001,1.0,0.9932708109833972,0.993267082278481,0.992003292929293,0.9932424606670864,0.9932331325301204,0.993131159974506,0.6940573170731706,0.9928278961209732,0.6952970833333332,0.6940129090909091,0.6935193589743588,0.7066213311688311,0.6959290833333333,0.6955682608695652,0.7113793633952256,0.6931100000000001,0.6953619327731093,0.6930778260869564,0.6902816513761469,0.6952587394957983,0.6962297435897437,0.6956787394957982,0.6972762244897959,0.690940462962963,0.9766511942446044,0.6951872499999999,0.6964758333333333,0.6940486734693879,0.6970533082706767,0.6928449999999999,0.7147938461538462,0.7003845652173912,0.6950549586776861,0.6955005000000002,0.7170215189873418,0.7225143875278396,0.6952970833333332,0.6953561344537816,0.7359033936651583,0.695698319327731,0.9922111652402896,0.9919553367875646,0.69697475,0.991964744429882,0.6953634453781513,0.9903126527871056,0.9917739973701514,0.7200905707762557,0.6953208403361345,0.6951921666666666,0.6949366942148761,0.6951921666666666,0.6945196694214876,0.6958293220338984,0.7079924342105264,0.6999704395604397,0.6953546218487395,0.6953619327731093,0.6952723529411763,0.7002183695652174,0.6955473333333333,0.9762430593280916,0.6913167741935483,0.6941187603305785,0.6953142016806722,0.6950372727272727,0.9918864224422442,0.6955176666666667,0.6953619327731093,0.7201412100456621,0.6950700833333333,0.7201382876712329,0.7201481735159817,0.6962088888888888
2062a,0.6945027131782946,0.7210414790286978,0.9931878890306124,0.9929545621827413,0.9934599117276166,0.6984694,0.9929939047619049,1.0,0.9995650531286896,0.991731445945946,0.9995899764428738,0.9999064289923394,0.9998895732068762,0.6950343283582089,0.993069765625,0.6996443089430895,0.7001103448275862,0.6953825842696629,0.7070146979865772,0.6978525984251971,0.7001494690265487,0.7105827225130891,0.6971696363636366,0.6991848780487806,0.6996286458333333,0.6941959649122807,0.6991905691056911,0.7006504166666667,0.6999730327868852,0.7012029906542057,0.6957001785714286,0.9767372335766424,0.7002945454545454,0.700851981981982,0.6971594999999999,0.7008822222222223,0.6941426315789473,0.7209023076923077,0.6991939603960395,0.6992379838709677,0.6992262096774193,0.7186032679738562,0.7221130283224401,0.6996443089430895,0.699178861788618,0.7360364485981309,0.7001879338842976,0.9920736263736264,0.991877365695793,0.6971218867924528,0.9922949055374592,0.6999888524590163,0.9900189927104044,0.9917281662269128,0.7196834389140273,0.7000871311475408,0.6998968032786885,0.700426475409836,0.6998968032786885,0.6998231147540984,0.6999658677685952,0.7081657666666668,0.6961723364485981,0.6991210655737704,0.6991848780487806,0.6994742622950818,0.7015299056603773,0.7008266115702481,0.9761441860465117,0.6954788888888891,0.6995381300813008,0.6991336065573769,0.6986526016260165,0.991877808219178,0.6999054918032787,0.6991848780487806,0.719660226244344,0.7002003305785125,0.7195646275395033,0.7197558823529411,0.69927168
2261,0.693896640625,0.7226997149122808,0.993292757097792,0.9930574167190446,0.9935625733916302,0.701624,0.9931139433962264,0.9995737595757218,1.0,0.9917739042481458,0.9998161574074074,0.9996170176470588,0.9995668643570172,0.6948937301587302,0.992838995492595,0.6981598333333333,0.698952962962963,0.6933129069767441,0.7071781619937696,0.6944176515151516,0.6990719266055045,0.7115172727272728,0.6952815384615386,0.697569917355372,0.6935393999999999,0.6945015740740741,0.6976194214876034,0.6986250847457628,0.698336050420168,0.6977018518518519,0.6946457692307692,0.9761382310469316,0.6985414285714286,0.699885462962963,0.6980676288659794,0.6987151515151515,0.6934001886792452,0.7181117514124294,0.7001303191489361,0.6982159504132232,0.69819826446281,0.7183649173553718,0.7235104925053534,0.6981598333333333,0.6975638016528926,0.7364275227272729,0.6984753781512605,0.9921912403598974,0.9919761572890026,0.7022204444444443,0.9922982577720206,0.6983387394957983,0.9901375753604196,0.9918080846905538,0.7212126292134832,0.6977495833333334,0.6982050000000001,0.6983153333333333,0.6982050000000001,0.6984205882352942,0.6979335833333334,0.708916198083067,0.700281098901099,0.6978785000000001,0.697569917355372,0.6975771074380167,0.7027592156862745,0.69822,0.9754814366595896,0.692914090909091,0.69808,0.6973081147540985,0.6981986776859502,0.9918377310924368,0.6991149152542373,0.697569917355372,0.7211871685393259,0.6983080672268908,0.7213224774774776,0.7211626636568849,0.697929
2363,0.6939150393700788,0.7215349440715885,0.991838078719146,0.9918576840696116,0.9918304533333334,0.70028025,0.9915528523714094,0.9913008722109534,0.9913615343203231,1.0,0.9912224630872484,0.9912982535401212,0.9912907142857142,0.6934014285714286,0.991555625,0.6976867226890756,0.6970957142857143,0.6918178313253012,0.7070605194805195,0.6960981746031747,0.6937615384615385,0.7127195000000001,0.691453962264151,0.697982735042735,0.6986770731707316,0.693492761904762,0.697911282051282,0.6978531034482759,0.6977732203389829,0.7008186315789473,0.6954633962264152,0.976950419790105,0.6979633050847457,0.6984548214285714,0.6973772164948454,0.7000879365079365,0.6912494339622642,0.7195009770114942,0.7003719354838708,0.6982413675213676,0.698231452991453,0.7183605756929639,0.7209944,0.6976867226890756,0.6979770940170938,0.7320789016018309,0.69685575,0.9897948180592993,0.9904972416107382,0.6973902222222224,0.9901668571428572,0.6983989743589745,0.9903637602179836,0.9905364822404372,0.7207024429223745,0.6993320535714286,0.6979296610169492,0.6988940170940171,0.6979296610169492,0.6977513559322034,0.6981943859649123,0.70863381270903,0.6958869696969695,0.6981406837606838,0.697982735042735,0.6978476923076923,0.6959165094339623,0.6978195762711863,0.9766162202380954,0.69156921875,0.6984205172413793,0.6981648717948717,0.6982317094017094,0.990501929347826,0.6978636440677966,0.697982735042735,0.7206596796338672,0.6976491596638655,0.720313416856492,0.7204996559633028,0.6975315126050419
