	1.0320	1207	1271	1281	1363	14B4	1963a	2062a	2261	2363	2371	2461	2465	362.5013889	771	AHQ-14	ATCC-19258	ATCC-25745	ATCC-33323	ATCC-393	ATCC-4005	ATCC-4356	ATCC-8293	AUSA004	B4311	CBA3614	CGMCC-14177	CYLB561	DMDL-9010	DSM-20016	DSM-20019	DSM-20072	DSM-20174	DSM-20184	DSM-20249	DSM-20314	DSM-20484	EFEL6800	FLUB	FNZ042	G2	GRL1118	HL1	HOM2217	IS-10506	JCM1004	KCKM-0597	KLDS1.0207	KLDS1.1011	KW2	L99	Lap	LDB-C1	LJJ	LKK75	LP06	LP140	LP45	Lrld-22	MSJK0048	MY04	NCK2677	NCTC13768	NCU116	OBM7	P9	PMC65	RS20D	SCB0695	SPC-SNU-70-4	ST	SYBC-SM3	TCI837	TCI904	UNQLp11	V2	W182	YY-112	ZW18	ZW3	ZY-1
1.0320	0.0	42156.0	36476.0	36430.0	36137.0	28320.0	35659.0	35460.0	36355.0	35768.0	36354.0	36082.0	35669.0	381119.0	36695.0	76141.0	26588.0	57396.0	43890.0	343632.0	62031.0	42885.0	34793.0	74156.0	54631.0	85753.0	74279.0	76124.0	76782.0	45279.0	86357.0	37887.0	77216.0	59777.0	59415.0	75638.0	33573.0	45323.0	64946.0	76121.0	76113.0	42932.0	42273.0	76138.0	74144.0	44944.0	76582.0	36784.0	36252.0	28192.0	37370.0	75275.0	37786.0	36466.0	41085.0	71851.0	76944.0	73124.0	76946.0	75965.0	72978.0	44216.0	59498.0	78167.0	74157.0	73033.0	59496.0	75552.0	37550.0	41451.0	74559.0	76649.0	75813.0	36500.0	75157.0	74156.0	41122.0	75295.0	41110.0	40854.0	72739.0
1207	41035.0	0.0	118699.0	121751.0	119325.0	25325.0	120972.0	120399.0	123051.0	117890.0	123393.0	120381.0	119776.0	48354.0	119084.0	49566.0	21695.0	49162.0	195784.0	40658.0	46041.0	264368.0	28078.0	48513.0	64851.0	49664.0	48519.0	49981.0	49037.0	59662.0	47454.0	123549.0	49217.0	66927.0	62209.0	48060.0	27809.0	34737.0	48237.0	49893.0	49971.0	254995.0	12910.0	49563.0	48513.0	219406.0	48885.0	121104.0	122055.0	26076.0	120255.0	48303.0	122062.0	126044.0	12453.0	48385.0	49209.0	46975.0	49209.0	48613.0	48426.0	195925.0	37552.0	49860.0	48514.0	48524.0	38631.0	49248.0	133826.0	44364.0	49411.0	48963.0	49885.0	123494.0	49533.0	48513.0	12602.0	48481.0	12641.0	13043.0	48396.0
1271	33943.0	115758.0	0.0	7333.0	2234.0	12080.0	6822.0	10903.0	10786.0	12028.0	10959.0	10701.0	10739.0	36337.0	11121.0	33732.0	15312.0	24474.0	86306.0	34986.0	33005.0	108063.0	15392.0	33808.0	28664.0	31647.0	33535.0	32763.0	33342.0	32193.0	31933.0	31933.0	33821.0	34675.0	29798.0	36266.0	15239.0	48620.0	26014.0	33884.0	33885.0	127614.0	117612.0	33732.0	33809.0	106648.0	33587.0	12231.0	12059.0	13122.0	12764.0	33166.0	15437.0	12453.0	114878.0	33154.0	33821.0	34341.0	33821.0	33415.0	32894.0	82929.0	27595.0	33284.0	33808.0	33281.0	27112.0	33110.0	32550.0	19663.0	34384.0	33236.0	33886.0	12510.0	33615.0	33808.0	114567.0	32769.0	114904.0	114662.0	33263.0
1281	33856.0	115723.0	7672.0	0.0	7865.0	9862.0	2224.0	11649.0	11119.0	11569.0	11289.0	11343.0	11437.0	35091.0	11016.0	34773.0	16498.0	22670.0	84773.0	34943.0	32709.0	105345.0	14886.0	33872.0	26218.0	31781.0	33878.0	33869.0	34218.0	28434.0	32149.0	31375.0	34238.0	31532.0	26817.0	37727.0	15535.0	45605.0	26625.0	35167.0	35170.0	126208.0	117340.0	34773.0	33873.0	106603.0	34495.0	12435.0	12787.0	11354.0	12501.0	34023.0	14528.0	12607.0	115249.0	34003.0	34518.0	34580.0	34518.0	33988.0	34577.0	79786.0	27865.0	34134.0	33872.0	33654.0	29091.0	33996.0	31886.0	19404.0	34928.0	34135.0	35168.0	12933.0	34703.0	33872.0	115285.0	33981.0	115105.0	115162.0	33643.0
1363	33384.0	118897.0	2260.0	8151.0	0.0	9537.0	8154.0	10258.0	10241.0	12412.0	10265.0	10242.0	10285.0	36559.0	11468.0	34463.0	14515.0	23001.0	83380.0	34900.0	33954.0	107201.0	12838.0	33862.0	25123.0	29147.0	33840.0	34145.0	34833.0	26779.0	29227.0	31652.0	33897.0	30797.0	26893.0	36864.0	12761.0	44624.0	25288.0	34732.0	34709.0	126833.0	122388.0	34463.0	33863.0	108395.0	34065.0	12418.0	12163.0	10821.0	12537.0	34144.0	14640.0	12226.0	118264.0	33433.0	34237.0	34369.0	34237.0	34376.0	33782.0	79568.0	27704.0	33913.0	33862.0	33841.0	27442.0	34136.0	32359.0	17206.0	34173.0	33914.0	34741.0	11958.0	33978.0	33862.0	118460.0	34371.0	118953.0	118470.0	33843.0
14B4	25762.0	26589.0	12594.0	12679.0	12585.0	0.0	12054.0	12659.0	12648.0	12598.0	12665.0	12670.0	12659.0	28094.0	12670.0	30348.0	64282.0	37450.0	29057.0	23701.0	25618.0	30537.0	38423.0	29255.0	42995.0	37013.0	29247.0	30814.0	30247.0	31863.0	35291.0	12940.0	29615.0	38059.0	38276.0	27782.0	35800.0	16812.0	28840.0	29674.0	29673.0	26428.0	25537.0	30347.0	29254.0	26863.0	30240.0	13926.0	13699.0	253886.0	13048.0	28131.0	13273.0	12848.0	25578.0	28790.0	28913.0	28797.0	28915.0	30296.0	28114.0	30225.0	26398.0	29708.0	29256.0	28747.0	29184.0	28992.0	13462.0	31412.0	29476.0	29710.0	29383.0	12859.0	29935.0	29255.0	25572.0	30397.0	25572.0	25277.0	30168.0
1963a	34856.0	116244.0	6695.0	2128.0	7380.0	11329.0	0.0	10693.0	10776.0	12050.0	10900.0	10837.0	10935.0	34200.0	11030.0	33913.0	15323.0	21790.0	83917.0	33415.0	31916.0	102013.0	13529.0	33735.0	25723.0	30493.0	33676.0	33004.0	33654.0	26961.0	30235.0	31992.0	33902.0	29899.0	27297.0	37227.0	13533.0	44915.0	24843.0	34108.0	33790.0	125696.0	116265.0	33913.0	33736.0	108526.0	33543.0	11923.0	12480.0	11271.0	12393.0	33697.0	14557.0	12568.0	114226.0	33764.0	33907.0	34299.0	33907.0	34314.0	33276.0	82447.0	24511.0	33670.0	33735.0	33679.0	25221.0	33829.0	32726.0	17735.0	34419.0	33692.0	34110.0	12415.0	33857.0	33735.0	114200.0	33870.0	114201.0	114150.0	33114.0
2062a	35864.0	117657.0	10784.0	11111.0	10431.0	13362.0	11066.0	0.0	732.0	12293.0	701.0	142.0	172.0	37168.0	10703.0	33891.0	15881.0	24427.0	80785.0	35451.0	31258.0	103304.0	14811.0	33964.0	26469.0	31700.0	33969.0	33042.0	33669.0	29502.0	31272.0	31495.0	33360.0	30734.0	28013.0	37002.0	15474.0	43387.0	27966.0	34194.0	34195.0	121232.0	118650.0	33891.0	33965.0	105408.0	33372.0	12328.0	12608.0	14159.0	11935.0	33632.0	15085.0	12526.0	115288.0	33534.0	33640.0	33648.0	33640.0	33702.0	33427.0	81331.0	29522.0	33823.0	33964.0	33720.0	28675.0	33369.0	32638.0	17800.0	33855.0	33822.0	34018.0	12510.0	33691.0	33964.0	115237.0	33437.0	115612.0	115221.0	34419.0
2261	35969.0	117444.0	10683.0	11055.0	10335.0	11814.0	10944.0	716.0	0.0	12205.0	309.0	637.0	726.0	34923.0	11096.0	32717.0	14515.0	23990.0	87048.0	36693.0	30088.0	106344.0	14471.0	33063.0	27612.0	29907.0	33003.0	32115.0	32488.0	29534.0	29205.0	32444.0	32456.0	29416.0	26671.0	36125.0	14902.0	45561.0	25831.0	32934.0	32936.0	127548.0	119994.0	32717.0	33064.0	107965.0	32462.0	12147.0	12570.0	11951.0	11880.0	32498.0	15100.0	12444.0	115283.0	32828.0	32713.0	32684.0	32713.0	32505.0	32774.0	84340.0	25005.0	32795.0	33063.0	33007.0	27427.0	32732.0	34068.0	18328.0	32745.0	33397.0	32936.0	12415.0	32165.0	33063.0	115235.0	32513.0	115038.0	114878.0	32718.0
2363	35290.0	116347.0	12169.0	12153.0	12185.0	10839.0	12568.0	12823.0	12812.0	0.0	13065.0	12880.0	12867.0	36943.0	12656.0	32790.0	15335.0	23350.0	83374.0	34888.0	32816.0	102086.0	15018.0	32269.0	23057.0	29447.0	32281.0	31955.0	32523.0	26222.0	29707.0	30369.0	32478.0	30625.0	26428.0	35008.0	14973.0	45103.0	25835.0	32146.0	32147.0	123402.0	117230.0	32790.0	32270.0	108791.0	33070.0	15035.0	14133.0	12175.0	14378.0	32151.0	14163.0	13875.0	114389.0	30862.0	32480.0	32047.0	32480.0	32514.0	31564.0	81114.0	27424.0	32191.0	32269.0	32288.0	29197.0	32480.0	31131.0	18004.0	31938.0	32188.0	32147.0	14011.0	32475.0	32269.0	114174.0	32745.0	114907.0	113960.0	32730.0
2371	35201.0	118942.0	10978.0	11419.0	10391.0	11261.0	11557.0	833.0	472.0	12998.0	0.0	1057.0	1068.0	36594.0	11428.0	37256.0	15397.0	23616.0	87998.0	37231.0	32973.0	109596.0	17884.0	37569.0	27418.0	32075.0	37482.0	36214.0	36953.0	29018.0	32835.0	32115.0	36783.0	32944.0	29054.0	39318.0	17940.0	47137.0	26150.0	36571.0	36541.0	127199.0	119986.0	37256.0	37570.0	111205.0	36981.0	12295.0	12687.0	12693.0	12265.0	36642.0	14922.0	12932.0	116007.0	36310.0	37143.0	37312.0	37143.0	36885.0	36463.0	84861.0	29957.0	36277.0	37569.0	37230.0	28146.0	36683.0	33043.0	19242.0	36304.0	36531.0	36573.0	12521.0	36350.0	37569.0	115660.0	36912.0	115567.0	115780.0	37084.0
2461	35797.0	118729.0	10626.0	11138.0	10351.0	13314.0	10861.0	88.0	624.0	12727.0	736.0	0.0	145.0	34620.0	11324.0	34379.0	15870.0	24275.0	82537.0	34221.0	32723.0	105191.0	14867.0	34310.0	24963.0	29296.0	34364.0	33489.0	34297.0	27077.0	29599.0	32474.0	33422.0	30797.0	27079.0	36139.0	15229.0	48023.0	26778.0	34968.0	34935.0	125749.0	120660.0	34379.0	34311.0	107168.0	33736.0	12328.0	12708.0	13165.0	12162.0	33362.0	14779.0	12342.0	116395.0	34195.0	33694.0	34683.0	33694.0	33367.0	34088.0	80089.0	26693.0	33545.0	34310.0	34115.0	28082.0	33550.0	33425.0	17725.0	33943.0	33793.0	34968.0	12439.0	33680.0	34310.0	116194.0	33364.0	116362.0	115992.0	34975.0
2465	35613.0	111000.0	10685.0	10885.0	10232.0	11866.0	11163.0	520.0	579.0	12527.0	669.0	156.0	0.0	35525.0	11074.0	35147.0	14326.0	23282.0	83453.0	36816.0	34459.0	102198.0	14952.0	35305.0	23637.0	29759.0	35287.0	34796.0	34597.0	27759.0	31182.0	32016.0	34719.0	31469.0	27447.0	36125.0	15356.0	46533.0	27680.0	34649.0	34619.0	123688.0	112762.0	35147.0	35306.0	104487.0	34543.0	12178.0	12767.0	11913.0	11853.0	33954.0	15113.0	12181.0	110174.0	35044.0	34702.0	34994.0	34702.0	34930.0	33550.0	83277.0	27255.0	35033.0	35305.0	35053.0	28412.0	33848.0	32576.0	19079.0	35091.0	35286.0	34651.0	12374.0	34926.0	35305.0	110209.0	34634.0	109936.0	110016.0	34736.0
362.5013889	375011.0	47656.0	37666.0	37744.0	37670.0	33170.0	37140.0	36261.0	37482.0	38170.0	37484.0	36964.0	36936.0	0.0	38636.0	80899.0	26160.0	56942.0	44356.0	336538.0	64703.0	44794.0	37282.0	79757.0	52790.0	84918.0	80336.0	81263.0	81059.0	46470.0	84258.0	39794.0	80880.0	62147.0	61303.0	79056.0	34631.0	43310.0	65567.0	81014.0	81041.0	44557.0	46546.0	80892.0	79757.0	46284.0	81390.0	38570.0	38295.0	31294.0	38477.0	80049.0	38523.0	39163.0	45939.0	78319.0	80297.0	79172.0	80297.0	81327.0	79951.0	45125.0	59684.0	82763.0	79758.0	80291.0	58524.0	80615.0	40481.0	41899.0	81192.0	80731.0	81011.0	38427.0	79889.0	79757.0	46251.0	81662.0	46245.0	45941.0	80191.0
771	37902.0	115383.0	11328.0	11402.0	11670.0	13226.0	11698.0	11327.0	11458.0	12962.0	11443.0	11501.0	11549.0	41277.0	0.0	34567.0	18754.0	26067.0	80166.0	37926.0	34910.0	101265.0	16186.0	34885.0	27422.0	33867.0	34900.0	33982.0	34591.0	29989.0	35152.0	31400.0	34504.0	33851.0	28967.0	40957.0	15995.0	47329.0	27565.0	34199.0	34169.0	126677.0	116471.0	34567.0	34884.0	107203.0	34479.0	12302.0	12806.0	14517.0	12519.0	33998.0	15805.0	13044.0	113811.0	33995.0	34510.0	34900.0	34510.0	34898.0	34050.0	80341.0	27702.0	34849.0	34885.0	34647.0	29488.0	34555.0	32392.0	19515.0	34644.0	34838.0	34201.0	12707.0	34128.0	34885.0	113599.0	34292.0	113878.0	113770.0	34791.0
AHQ-14	80778.0	50722.0	36921.0	37194.0	37250.0	33875.0	36901.0	36281.0	36722.0	37036.0	37001.0	37005.0	36440.0	79375.0	37262.0	0.0	32130.0	98631.0	50163.0	77742.0	100967.0	54079.0	48787.0	26104.0	84466.0	90592.0	27137.0	27141.0	11550.0	80642.0	86579.0	38119.0	23818.0	79016.0	78553.0	401831.0	43077.0	64221.0	100808.0	27737.0	27647.0	51249.0	49739.0	210.0	26131.0	51915.0	26095.0	37102.0	37091.0	34059.0	37703.0	23737.0	36837.0	37037.0	50626.0	26313.0	22382.0	27493.0	22123.0	28069.0	29987.0	50305.0	126151.0	29510.0	26096.0	25106.0	93683.0	26797.0	39575.0	64534.0	25998.0	28046.0	27672.0	35961.0	33213.0	26119.0	50603.0	24192.0	50589.0	50578.0	30711.0
ATCC-19258	25620.0	22561.0	17655.0	17474.0	17468.0	61222.0	16712.0	16547.0	16914.0	18726.0	16634.0	16263.0	16380.0	25464.0	17735.0	30764.0	0.0	30360.0	24777.0	23917.0	25614.0	25330.0	28013.0	31313.0	36890.0	32335.0	31318.0	31906.0	31097.0	27613.0	32498.0	18158.0	32142.0	32498.0	31183.0	30533.0	27967.0	19094.0	27497.0	31660.0	31660.0	24128.0	22308.0	30764.0	31313.0	24581.0	31360.0	17505.0	17170.0	60414.0	18213.0	31016.0	18513.0	17446.0	22571.0	30558.0	31268.0	31086.0	31268.0	30962.0	30189.0	25694.0	24908.0	31109.0	31315.0	30775.0	25686.0	31093.0	18119.0	28627.0	30727.0	31144.0	31110.0	17595.0	31655.0	31313.0	22567.0	30967.0	22567.0	22309.0	31512.0
