	1.0320	1207	1271	1281	1363	14B4	1963a	2062a	2261	2363	2371	2461	2465	362.5013889	771	AHQ-14	ATCC-19258	ATCC-25745	ATCC-33323	ATCC-393	ATCC-4005	ATCC-4356	ATCC-8293	AUSA004	B4311	CBA3614	CGMCC-14177	CYLB561	DMDL-9010	DSM-20016	DSM-20019	DSM-20072	DSM-20174	DSM-20184	DSM-20249	DSM-20314	DSM-20484	EFEL6800	FLUB	FNZ042	G2	GRL1118	HL1	HOM2217	IS-10506	JCM1004	KCKM-0597	KLDS1.0207	KLDS1.1011	KW2	L99	Lap	LDB-C1	LJJ	LKK75	LP06	LP140	LP45	Lrld-22	MSJK0048	MY04	NCK2677	NCTC13768	NCU116	OBM7	P9	PMC65	RS20D	SCB0695	SPC-SNU-70-4	ST	SYBC-SM3	TCI837	TCI904	UNQLp11	V2	W182	YY-112	ZW18	ZW3	ZY-1
1.0320	1.0	0.04899640390246954	0.04309537715509182	0.043061381148942625	0.04276051649452222	0.03276399088635067	0.04173587686918541	0.042033001962929396	0.04291791800299301	0.042144848823160254	0.04291893788317749	0.04263303147146273	0.042219300076627	0.5717240938534541	0.04328847447001926	0.08869320032282607	0.03097818068333332	0.06779483546272984	0.05093825577371171	0.5643867358462727	0.07281740541121229	0.04949580523280125	0.03963118412848859	0.08652153545001533	0.06413550536083021	0.10106332708033461	0.08661060498612623	0.08877003129672326	0.08927963142889973	0.053614081417715044	0.10199243792839217	0.04521740785892473	0.08970118190514978	0.07031665919887732	0.06978598154288834	0.08846882668224137	0.03845764199621828	0.053130998170334946	0.07565913156522372	0.08871631760700753	0.088717337487192	0.0495022644739696	0.04918916125733549	0.08869320032282607	0.08651099668810908	0.051535565601753104	0.08920552013549449	0.04347103302304045	0.04294953428871176	0.03273339448081639	0.04403876632573205	0.08791537170213243	0.044456577241305695	0.04318138705064929	0.04793980803135248	0.08422918475537494	0.08935612244273543	0.08563050012884486	0.08935544252261245	0.08862622819071216	0.0853751901226644	0.051228581666225854	0.06945248072256471	0.09108787899597555	0.08652153545001533	0.0853962676464769	0.0698383353923581	0.08796398599092578	0.04432025325664741	0.04797040443688676	0.08700801829801035	0.08926501314625558	0.08837227802477765	0.043184446691202714	0.08763014521054066	0.08652153545001533	0.04798060323873151	0.08799832195713647	0.04801731892537265	0.04773039263347342	0.08513007891832867
1207	0.06582600863145475	1.0	0.2007204045133687	0.2051068510078405	0.20138060472292063	0.04079283578089728	0.20345053476682232	0.20296387555668044	0.20757178455978278	0.1985881299817433	0.20802261895235205	0.2028359297796355	0.20202917349819574	0.07651343570236183	0.2015471668617646	0.07851636868482907	0.03588716206030852	0.07704010704641594	0.34935245479094124	0.06501971760738605	0.07381354717802795	0.6052984439932482	0.04506250267522988	0.07662184066982174	0.10261809627849934	0.07932359022363991	0.07651948404818577	0.07866618155831442	0.0774016120237393	0.09587000336846337	0.07588022042033211	0.20345332631104873	0.07776544328791801	0.10575439621689926	0.09957856987328251	0.07626731455306446	0.04467029071141574	0.05576016540830056	0.07713362377800151	0.07862291262280469	0.07871131152330846	0.6046870958076589	0.9162504164053471	0.07851636868482907	0.07662184066982174	0.6212102460839287	0.07710756936522145	0.20470347286712062	0.20978594438871695	0.041753592252162054	0.2040958467404999	0.07621101841116469	0.20381762283259855	0.21532622916344862	0.8804307166638441	0.07674001604207416	0.07769844622648357	0.07421413377452139	0.07769658519699928	0.07668139361331902	0.07666697063481577	0.3472857815486371	0.06014707716014345	0.07907328175800289	0.07662184066982174	0.07652971971034937	0.062294705185014246	0.07832142584634968	0.21948283851661063	0.07071772463091133	0.0778198784003335	0.07741138242853182	0.07862291262280469	0.2059880484686519	0.07802319587149219	0.07662184066982174	0.881790198702118	0.07659252945544416	0.881552917442871	0.8790456454701612	0.07640177393330443
1271	0.06276567637472569	0.2369760189908639	1.0	0.9178457152780285	0.9756137958860388	0.022482303524852438	0.9237648860439273	0.9096415199339308	0.917257122290366	0.8691288995718229	0.9215784378959893	0.91456461025917	0.9115729302245078	0.06681017560932556	0.8931706592986516	0.062193130712919646	0.028603785220298262	0.04431239787739728	0.16755127550450213	0.06508795367366273	0.060490967934577346	0.21216284138536565	0.028261633308288042	0.06225732001634535	0.052412285603428165	0.057699306354339855	0.06179710563553428	0.0606514411931416	0.06157244307354432	0.05941694333975799	0.05842372849300136	0.791334329413774	0.06227795229244647	0.06371418795659657	0.05495234803898812	0.06750766116529949	0.02801347287629403	0.09574808907870583	0.047978638716809976	0.06247281267784592	0.06247338579662651	0.25694576978162453	0.2400381926355383	0.062193130712919646	0.06225732001634535	0.2310344965925223	0.061922045529702166	0.8949106479165126	0.8891616934284481	0.02421426847978524	0.885006582269195	0.061251496556415805	0.8685013345070806	0.8766591072299508	0.23353329447588	0.0612130975981165	0.06227737917366588	0.06315826273942754	0.06227737917366588	0.061716295887471566	0.06070359500217499	0.16107675264021495	0.05118179958150867	0.0614188472403471	0.06225732001634535	0.06136554719375255	0.05068490559874005	0.06121539007323885	0.7898000904381436	0.03526629104461787	0.06320812407333858	0.06134778051155436	0.06247338579662651	0.8723784830577491	0.06203724240460008	0.06225732001634535	0.2329928434657868	0.060654879905825125	0.23347254388513783	0.23289312079796473	0.061438906397667636
1281	0.06307964931593832	0.23568163739985817	0.9214854666728783	1.0	0.9210218910091053	0.0191032284076406	0.9570605851981325	0.9220801778842199	0.9291994577430077	0.8712277680672288	0.932642916178503	0.9269189645583177	0.9242956784510361	0.06507371485725492	0.8821706844182787	0.06482582265987753	0.030635104410928194	0.04225382895668443	0.16400455753543391	0.06537969780158157	0.06086472390503256	0.20695259967595717	0.027650045236012354	0.06333156760468844	0.049101635225768825	0.05812583145976295	0.06333099244877806	0.06338735772799611	0.06387739056364704	0.05378915589543436	0.059079439959186936	0.7932245483444424	0.06393203037513394	0.0591605369425517	0.05030601170212215	0.07076200681099629	0.02864161402552197	0.09136409152110908	0.04994941503768134	0.06544814135491779	0.06544871651082818	0.2532003112743787	0.24018855911366174	0.06482582265987753	0.06333156760468844	0.2298449552212366	0.0643507438778967	0.894036726005502	0.9042572465331039	0.021592503187801634	0.890727278897127	0.0634926112595972	0.8637645449740289	0.8919972231472646	0.23399585542650975	0.06348628454458292	0.06438640354434078	0.06450546081779118	0.06438525323252	0.06345350065769079	0.06442206321078486	0.1560225438110636	0.05204643348695748	0.06383943027356141	0.06333156760468844	0.06290537707509063	0.05481005763637378	0.06344889941040768	0.7930681059368169	0.03550840043964918	0.0649558078956253	0.06383827996174063	0.06544871651082818	0.8924797789560805	0.06476025488609324	0.06333156760468844	0.23405567164119015	0.06348283360912059	0.23371690480997137	0.23356908974100155	0.06297439578433724
1363	0.06107073709782003	0.2384985433390869	0.9712880261559678	0.9134708028530462	1.0	0.017871494196188022	0.9136894161483876	0.9182728750559376	0.9241223503840288	0.8681054047142844	0.9276909413043279	0.9189618208718047	0.9175959158698411	0.06635912399426468	0.8869135684082669	0.06280936920646228	0.026863749691772378	0.0416712330018174	0.16008372375498872	0.06406853612427738	0.061344146414970276	0.207998849283542	0.023329977076997542	0.06189039425737691	0.04608231275742714	0.052912408559138605	0.06182703635716047	0.06230136442094304	0.06339842644090705	0.04948994036366293	0.05317554362219969	0.7893252783181275	0.06193834077645963	0.057201338849466196	0.049354662684822415	0.06777354630720477	0.02322323899284912	0.0875891576938181	0.04689055407910719	0.06332079874334456	0.06328826360539558	0.252270039361809	0.2448936957176909	0.06280936920646228	0.06189039425737691	0.23198466624656383	0.062199763463839194	0.9000828789829859	0.8922636008292465	0.02021744887987799	0.8830156305652209	0.06230478917230609	0.8676727444587523	0.8773790606135328	0.23554241212088003	0.061183183100906875	0.062466894070157174	0.06278824990639013	0.062466894070157174	0.06273174150889979	0.06173856361361498	0.1538215658876499	0.0509123537631168	0.061949185822442625	0.06189039425737691	0.06182075764632821	0.05050423755901988	0.06232362530480287	0.7857452715599514	0.031300515082605	0.06233047480752897	0.061948044238654944	0.06333392695690293	0.8795777509886116	0.06213412239604738	0.06189039425737691	0.23593854169520626	0.06271633012776606	0.23658410732714139	0.23592198873028486	0.061867562581623244
14B4	0.035621337057224194	0.036234662502360064	0.019946646113931987	0.02004240552287545	0.01994354459461398	1.0	0.01876806877308936	0.020074971475714524	0.020073033026140767	0.019815219232831444	0.020074971475714524	0.020074971475714524	0.020074971475714524	0.038006017722856764	0.020062953088357247	0.04138008305093354	0.09329757798479557	0.05120337011089095	0.04001425148126624	0.03282764353152946	0.035223179514775056	0.04129711740917685	0.050807926397845066	0.040065426550013356	0.058309726248274296	0.050706351640180336	0.04006154965086585	0.041751877679179615	0.041234311642987215	0.04299985151476265	0.048865599924943236	0.02023121051135912	0.04055197739302569	0.0511374628253833	0.05164805044311019	0.038111469379669	0.047781618923299816	0.024488821155153117	0.039249726969377535	0.04053802055609466	0.04053802055609466	0.03624629319980259	0.03505182057245517	0.04138008305093354	0.040065426550013356	0.037218231816083004	0.04116142593901405	0.021533460935007274	0.021223696693121335	0.7090654695835938	0.020506082660917482	0.038768991475086466	0.0205801314346349	0.020281610200276735	0.035092528013504015	0.039752560788809406	0.0396579644496102	0.039591669474187796	0.0396579644496102	0.041192053442279365	0.03875309618858168	0.04157160186882047	0.036478131768823606	0.040617496988618586	0.040065426550013356	0.039477688639251045	0.04041279671363013	0.03972852401409485	0.021201210678065786	0.04251989140030108	0.04022593017472021	0.040617496988618586	0.04015653367997981	0.02023625048025088	0.04082103419386279	0.040065426550013356	0.035092528013504015	0.04138047074084829	0.035092528013504015	0.034783151461532824	0.04111296469967019
1963a	0.06423841442943308	0.23807985737274107	0.9293792472707487	0.9609951492839695	0.9252821866425868	0.0208789173294435	1.0	0.916844950740342	0.9260080575139791	0.868800865951215	0.9317768207550446	0.9239386888016763	0.9191568552541706	0.06338809201310504	0.8896902024797694	0.06288276085622663	0.028269602565438357	0.040428229083457785	0.16348823209344865	0.06236527396705218	0.059389434932101554	0.2019501267669225	0.024996237511432175	0.06259333865870177	0.04764352446775258	0.05575892288634969	0.06246367751421063	0.06141133840401023	0.06246309866981558	0.05063557114576459	0.05549902175297237	0.8021695087926464	0.06282661294990681	0.05593199736046956	0.05073165931534285	0.0694271755866588	0.024982345245950985	0.08904594866807905	0.04723659685803262	0.06318723300802279	0.0627368920686741	0.25332314567198044	0.23953275680431588	0.06288276085622663	0.06259333865870177	0.23585130645179964	0.062292339573275915	0.8894204609916763	0.9034788548142488	0.020976742032206903	0.8931707938272033	0.06251982542053046	0.8706028085530048	0.8884838907604857	0.23326155662834716	0.06255571377302353	0.0628370321490177	0.06354611653295361	0.0628358744602276	0.06343845147547436	0.061782377661237106	0.16134650783176466	0.04632318040264416	0.06245615253707498	0.06259333865870177	0.062457310225865086	0.047690989708146656	0.06273284015790875	0.8075093483369801	0.032562312599127105	0.06354380115537342	0.06243299876127299	0.06318781185241783	0.886519292883687	0.06281387837321571	0.06259333865870177	0.2332644508503224	0.0627415228238345	0.2332644508503224	0.23312726472869563	0.061598305143611295
2062a	0.06466564751638322	0.2341051897980059	0.8902150332160561	0.8945437991074942	0.900481660915212	0.024386542720007193	0.893442779582523	1.0	0.9650517630925216	0.8371081236019469	0.9677349010262694	0.965152366714252	0.9594499960657802	0.06716275305464069	0.8709446623877343	0.06201960365545227	0.02912278138102357	0.044266155592774525	0.15300967818081673	0.06456954014590335	0.057299663905219025	0.19794802333554398	0.026973011251868753	0.0620735586704585	0.048613468520620935	0.05705742836909727	0.062075806796083766	0.060645436867012126	0.06165990355541068	0.05446927374301676	0.056535301192630644	0.7685397300001124	0.06115351325832088	0.056776412665939774	0.05116452907388465	0.06795577936895114	0.027908793543383204	0.08590537639243281	0.051356743814844376	0.062495082225194745	0.062495644256601056	0.23852331868304802	0.2369108505783303	0.06201960365545227	0.0620735586704585	0.22265492395715072	0.06115407528972719	0.876611063026202	0.876554297854164	0.025749468880321032	0.8699217652282409	0.061591897755246566	0.8530625091330104	0.8587542011847622	0.22818643705810282	0.06144857974663624	0.061597518069309715	0.06171891685307375	0.061597518069309715	0.06167845059181907	0.06118892123691872	0.15451086406708406	0.05346098940008768	0.06180940390949046	0.0620735586704585	0.06165540730416016	0.0530006856783157	0.06125524094286389	0.7736924339332082	0.032217888335600194	0.0619420433213808	0.06180827984667783	0.06208760945561638	0.869133235165181	0.061680136686038015	0.0620735586704585	0.228077964996684	0.06125467891145757	0.2286888931353484	0.2280667243685577	0.06291491968571204
2261	0.06416160268155029	0.2334629177927199	0.8948284865621213	0.8981341176838155	0.9043191348340434	0.021695540494399677	0.8975912688937043	0.959177547818674	1.0	0.8340244008578461	0.9799000890428231	0.9616753217480959	0.9625434334823332	0.06255258324611303	0.8752390654743706	0.05926759488416622	0.02636582540911718	0.042765103247273485	0.1635665332884028	0.06565178677033423	0.05464473252562492	0.20311248183995054	0.025942927790510578	0.059768042329931555	0.04942769343381708	0.05350491744011926	0.059669291830599935	0.0582544259192723	0.05887761409867016	0.05346084235849667	0.052285320877752464	0.7719315374504295	0.05884525517798522	0.05373868274644666	0.048420103593179185	0.06543029553737009	0.026535988698925907	0.08846817332776909	0.047132441714888895	0.059662596881492704	0.05966315479391831	0.24906549668711603	0.23907663261913104	0.05926759488416622	0.059768042329931555	0.2266134269435995	0.05884581309041082	0.8777307023671108	0.8817811465769841	0.021876304120294846	0.8709682458563844	0.05888375113535178	0.8586623714848728	0.8644356492650062	0.22784920296630878	0.05937638780715868	0.05925643663565418	0.05924695212441893	0.05925532081080297	0.05892559456727196	0.05932003865217285	0.15951943655308315	0.045475999723275436	0.05934960801072977	0.059768042329931555	0.05966873391817433	0.05046820010756552	0.059291585118467126	0.787040921760593	0.03265349844565598	0.059286563906636704	0.06032539684310833	0.05966315479391831	0.8713905855625654	0.05843853701972109	0.059768042329931555	0.2277381783936139	0.05891889961816474	0.22742909490983018	0.22694538483683294	0.05924360464986532
2363	0.06610436749824244	0.2407849963094365	0.8855486657238476	0.8817551641569665	0.8857387502149416	0.020697569141040352	0.8834173799221647	0.8699137776748397	0.8756285947901643	1.0	0.8788120713594726	0.8733464111463206	0.872646315343737	0.06906383680573833	0.8789226128019858	0.062178684100631314	0.029001629462745194	0.043410033887678195	0.16422656667637558	0.06584819209178332	0.06129961643874074	0.20496956893516421	0.027855858637965664	0.06125692053766422	0.04391653594702433	0.05486832701083072	0.061262184415879134	0.06064572578937703	0.06167861567021452	0.050400464157083484	0.05581757971558681	0.7775648831477524	0.06164586265021061	0.058343656383388134	0.05021973767170478	0.06680095404868268	0.02776812733438377	0.09233661214458587	0.04940851555125087	0.061068590672641754	0.06106917554799897	0.2523859990197489	0.242048911956373	0.062178684100631314	0.06125692053766422	0.23536320174807546	0.0625670413378205	0.8747600548847035	0.8784149409919252	0.023056371456678867	0.8664004314040635	0.06110602269550336	0.8651511376410573	0.8622957761471453	0.23596328386457563	0.058850158442734266	0.06164352314878176	0.06100366950799115	0.06164352314878176	0.06165872990806929	0.05993510223036369	0.16043423486020894	0.05156670561936546	0.06114053034157891	0.06125692053766422	0.06126159954052192	0.055084730892999395	0.061603751624491304	0.7846600061060988	0.03346481331363473	0.06071649570759975	0.06113702108943563	0.06106917554799897	0.8673818522534663	0.06157860198413116	0.06125692053766422	0.2354573666805867	0.062079840165262384	0.23660840138358114	0.23488535858123274	0.06204065351632913
