	1.0320	1207	1271	1281	1363	14B4	1963a	2062a	2261	2363	2371	2461	2465	362.5013889	771	AHQ-14	ATCC-19258	ATCC-25745	ATCC-33323	ATCC-393	ATCC-4005	ATCC-4356	ATCC-8293	AUSA004	B4311	CBA3614	CGMCC-14177	CYLB561	DMDL-9010	DSM-20016	DSM-20019	DSM-20072	DSM-20174	DSM-20184	DSM-20249	DSM-20314	DSM-20484	EFEL6800	FLUB	FNZ042	G2	GRL1118	HL1	HOM2217	IS-10506	JCM1004	KCKM-0597	KLDS1.0207	KLDS1.1011	KW2	L99	Lap	LDB-C1	LJJ	LKK75	LP06	LP140	LP45	Lrld-22	MSJK0048	MY04	NCK2677	NCTC13768	NCU116	OBM7	P9	PMC65	RS20D	SCB0695	SPC-SNU-70-4	ST	SYBC-SM3	TCI837	TCI904	UNQLp11	V2	W182	YY-112	ZW18	ZW3	ZY-1
1.0320	2941522.0	144124.0	126766.0	126666.0	125781.0	96376.0	122767.0	123641.0	126244.0	123970.0	126247.0	125406.0	124189.0	1681739.0	127334.0	260893.0	91123.0	199420.0	149836.0	1660156.0	214194.0	145593.0	116576.0	254505.0	188656.0	297280.0	254767.0	261119.0	262618.0	157707.0	300013.0	133008.0	263858.0	206838.0	205277.0	260233.0	113124.0	156286.0	222553.0	260961.0	260964.0	145612.0	144691.0	260893.0	254474.0	151593.0	262400.0	127871.0	126337.0	96286.0	129541.0	258605.0	130770.0	127019.0	141016.0	247762.0	262843.0	251884.0	262841.0	260696.0	251133.0	150690.0	204296.0	267937.0	254505.0	251195.0	205431.0	258748.0	130369.0	141106.0	255936.0	262575.0	259949.0	127028.0	257766.0	254505.0	141136.0	258849.0	141244.0	140400.0	250412.0
1207	141483.0	2149348.0	431418.0	440846.0	432837.0	87678.0	437286.0	436240.0	446144.0	426835.0	447113.0	435965.0	434231.0	164454.0	433195.0	168759.0	77134.0	165586.0	750880.0	139750.0	158651.0	1300997.0	96855.0	164687.0	220562.0	170494.0	164467.0	169081.0	166363.0	206058.0	163093.0	437292.0	167145.0	227303.0	214029.0	163925.0	96012.0	119848.0	165787.0	168988.0	169178.0	1299683.0	1969341.0	168759.0	164687.0	1335197.0	165731.0	439979.0	450903.0	89743.0	438673.0	163804.0	438075.0	462811.0	1892352.0	164941.0	167001.0	159512.0	166997.0	164815.0	164784.0	746438.0	129277.0	169956.0	164687.0	164489.0	133893.0	168340.0	471745.0	151997.0	167262.0	166384.0	168988.0	442740.0	167699.0	164687.0	1895274.0	164624.0	1894764.0	1889375.0	164214.0
1271	109516.0	413485.0	1744839.0	1601493.0	1702289.0	39228.0	1611821.0	1587178.0	1600466.0	1516490.0	1608006.0	1595768.0	1590548.0	116573.0	1558439.0	108517.0	49909.0	77318.0	292350.0	113568.0	105547.0	370190.0	49312.0	108629.0	91451.0	100676.0	107826.0	105827.0	107434.0	103673.0	101940.0	1380751.0	108665.0	111171.0	95883.0	117790.0	48879.0	167065.0	83715.0	109005.0	109006.0	448329.0	418828.0	108517.0	108629.0	403118.0	108044.0	1561475.0	1551444.0	42250.0	1544194.0	106874.0	1515395.0	1529629.0	407478.0	106807.0	108664.0	110201.0	108664.0	107685.0	105918.0	281053.0	89304.0	107166.0	108629.0	107073.0	88437.0	106811.0	1378074.0	61534.0	110288.0	107042.0	109006.0	1522160.0	108245.0	108629.0	406535.0	105833.0	407372.0	406361.0	107201.0
1281	109674.0	409770.0	1602149.0	1738659.0	1601343.0	33214.0	1664002.0	1603183.0	1615561.0	1514768.0	1621548.0	1611596.0	1607035.0	113141.0	1533794.0	112710.0	53264.0	73465.0	285148.0	113673.0	105823.0	359820.0	48074.0	110112.0	85371.0	101061.0	110111.0	110209.0	111061.0	93521.0	102719.0	1379147.0	111156.0	102860.0	87465.0	123031.0	49798.0	158851.0	86845.0	113792.0	113793.0	440229.0	417606.0	112710.0	110112.0	399622.0	111884.0	1554425.0	1572195.0	37542.0	1548671.0	110392.0	1501792.0	1550879.0	406839.0	110381.0	111946.0	112153.0	111944.0	110324.0	112008.0	271270.0	90491.0	110995.0	110112.0	109371.0	95296.0	110316.0	1378875.0	61737.0	112936.0	110993.0	113793.0	1551718.0	112596.0	110112.0	406943.0	110375.0	406354.0	406097.0	109491.0
1363	106993.0	417838.0	1701650.0	1600357.0	1751952.0	31310.0	1600740.0	1608770.0	1619018.0	1520879.0	1625270.0	1609977.0	1607584.0	116258.0	1553830.0	110039.0	47064.0	73006.0	280459.0	112245.0	107472.0	364404.0	40873.0	108429.0	80734.0	92700.0	108318.0	109149.0	111071.0	86704.0	93161.0	1382860.0	108513.0	100214.0	86467.0	118736.0	40686.0	153452.0	82150.0	110935.0	110878.0	441965.0	429042.0	110039.0	108429.0	406426.0	108971.0	1576902.0	1563203.0	35420.0	1547001.0	109155.0	1520121.0	1537126.0	412659.0	107190.0	109439.0	110002.0	109439.0	109903.0	108163.0	269488.0	89196.0	108532.0	108429.0	108307.0	88481.0	109188.0	1376588.0	54837.0	109200.0	108530.0	110958.0	1540978.0	108856.0	108429.0	413353.0	109876.0	414484.0	413324.0	108389.0
14B4	91881.0	93463.0	51450.0	51697.0	51442.0	2579381.0	48410.0	51781.0	51776.0	51111.0	51781.0	51781.0	51781.0	98032.0	51750.0	106735.0	240650.0	132073.0	103212.0	84675.0	90854.0	106521.0	131053.0	103344.0	150403.0	130791.0	103334.0	107694.0	106359.0	110913.0	126043.0	52184.0	104599.0	131903.0	133220.0	98304.0	123247.0	63166.0	101240.0	104563.0	104563.0	93493.0	90412.0	106735.0	103344.0	96000.0	106171.0	55543.0	54744.0	1828950.0	52893.0	100000.0	53084.0	52314.0	90517.0	102537.0	102293.0	102122.0	102293.0	106250.0	99959.0	107229.0	94091.0	104768.0	103344.0	101828.0	104240.0	102475.0	54686.0	109675.0	103758.0	104768.0	103579.0	52197.0	105293.0	103344.0	90517.0	106736.0	90517.0	89719.0	106046.0
1963a	110977.0	411302.0	1605577.0	1660196.0	1598499.0	36070.0	1727580.0	1583923.0	1599753.0	1500923.0	1609719.0	1596178.0	1587917.0	109508.0	1537011.0	108635.0	48838.0	69843.0	282439.0	107741.0	102600.0	348885.0	43183.0	108135.0	82308.0	96328.0	107911.0	106093.0	107910.0	87477.0	95879.0	1385812.0	108538.0	96627.0	87643.0	119941.0	43159.0	153834.0	81605.0	109161.0	108383.0	437636.0	413812.0	108635.0	108135.0	407452.0	107615.0	1536545.0	1560832.0	36239.0	1543024.0	108008.0	1504036.0	1534927.0	402978.0	108070.0	108556.0	109781.0	108554.0	109595.0	106734.0	278739.0	80027.0	107898.0	108135.0	107900.0	82390.0	108376.0	1395037.0	56254.0	109777.0	107858.0	109162.0	1531533.0	108516.0	108135.0	402983.0	108391.0	402983.0	402746.0	106416.0
2062a	115057.0	416534.0	1583924.0	1591626.0	1602191.0	43390.0	1589667.0	1779260.0	1717078.0	1489433.0	1721852.0	1717257.0	1707111.0	119500.0	1549637.0	110349.0	51817.0	78761.0	272244.0	114886.0	101951.0	352201.0	47992.0	110445.0	86496.0	101520.0	110449.0	107904.0	109709.0	96915.0	100591.0	1367432.0	108808.0	101020.0	91035.0	120911.0	49657.0	152848.0	91377.0	111195.0	111196.0	424395.0	421526.0	110349.0	110445.0	396161.0	108809.0	1559719.0	1559618.0	45815.0	1547817.0	109588.0	1517820.0	1527947.0	406003.0	109333.0	109598.0	109814.0	109598.0	109742.0	108871.0	274915.0	95121.0	109975.0	110445.0	109701.0	94302.0	108989.0	1376600.0	57324.0	110211.0	109973.0	110470.0	1546414.0	109745.0	110445.0	405810.0	108988.0	406897.0	405790.0	111942.0
2261	115003.0	418458.0	1603887.0	1609812.0	1620898.0	38887.0	1608839.0	1719226.0	1792396.0	1494902.0	1756369.0	1723703.0	1725259.0	112119.0	1568775.0	106231.0	47258.0	76652.0	293176.0	117674.0	97945.0	364058.0	46500.0	107128.0	88594.0	95902.0	106951.0	104415.0	105532.0	95823.0	93716.0	1383607.0	105474.0	96321.0	86788.0	117277.0	47563.0	158570.0	84480.0	106939.0	106940.0	446424.0	428520.0	106231.0	107128.0	406181.0	105475.0	1573241.0	1580501.0	39211.0	1561120.0	105543.0	1539063.0	1549411.0	408396.0	106426.0	106211.0	106194.0	106209.0	105618.0	106325.0	285922.0	81511.0	106378.0	107128.0	106950.0	90459.0	106274.0	1410689.0	58528.0	106265.0	108127.0	106940.0	1561877.0	104745.0	107128.0	408197.0	105606.0	407643.0	406776.0	106188.0
2363	113023.0	411686.0	1514081.0	1507595.0	1514406.0	35388.0	1510437.0	1487349.0	1497120.0	1709766.0	1502563.0	1493218.0	1492021.0	118083.0	1502752.0	106311.0	49586.0	74221.0	280789.0	112585.0	104808.0	350450.0	47627.0	104735.0	75087.0	93812.0	104744.0	103690.0	105456.0	86173.0	95435.0	1329454.0	105400.0	99754.0	85864.0	114214.0	47477.0	157874.0	84477.0	104413.0	104414.0	431521.0	413847.0	106311.0	104735.0	402416.0	106975.0	1495635.0	1501884.0	39421.0	1481342.0	104477.0	1479206.0	1474324.0	403442.0	100620.0	105396.0	104302.0	105396.0	105422.0	102475.0	274305.0	88167.0	104536.0	104735.0	104743.0	94182.0	105328.0	1341585.0	57217.0	103811.0	104530.0	104414.0	1483020.0	105285.0	104735.0	402577.0	106142.0	404545.0	401599.0	106075.0
