Genome,GeneID,CopyNumber
AHQ-14,dnaA,1
AHQ-14,dnaN,1
AHQ-14,recF,1
AHQ-14,gyrB,1
AHQ-14,gyrA,1
AHQ-14,rpsF,1
AHQ-14,ssbA,1
AHQ-14,rpsR,1
AHQ-14,gdpP,1
AHQ-14,rplI,1
AHQ-14,dnaC,1
AHQ-14,mdtG,1
AHQ-14,proB,1
AHQ-14,proA,1
AHQ-14,oppA_1,1
AHQ-14,glgB,1
AHQ-14,glgC,1
AHQ-14,glgD,1
AHQ-14,glgA_1,1
AHQ-14,glgP,1
AHQ-14,apu,1
AHQ-14,yvdM,1
AHQ-14,trePP,1
AHQ-14,cspL,1
AHQ-14,walR,1
AHQ-14,walK,1
AHQ-14,yycI,1
AHQ-14,yycJ,1
AHQ-14,htrA,1
AHQ-14,rlmH,1
AHQ-14,calB,1
AHQ-14,nfnB,1
AHQ-14,yflS_1,1
AHQ-14,oxyR_1,1
AHQ-14,arsC,1
AHQ-14,hcaB_1,1
AHQ-14,adc,1
AHQ-14,yodC_1,1
AHQ-14,ycjU,1
AHQ-14,yxeI_1,1
AHQ-14,iphP_1,1
AHQ-14,hpaH,1
AHQ-14,azoR1,1
AHQ-14,tetO,1
AHQ-14,hchA,1
AHQ-14,mepA_1,1
AHQ-14,pepIP,1
AHQ-14,yaaA,1
AHQ-14,dppE_1,1
AHQ-14,ant1,1
AHQ-14,larO,1
AHQ-14,larQ,1
AHQ-14,larMN,1
AHQ-14,larR,1
AHQ-14,larA,1
AHQ-14,larB,1
AHQ-14,larC_1,1
AHQ-14,larC_2,1
AHQ-14,larD_1,1
AHQ-14,larE,1
AHQ-14,tdh_1,1
AHQ-14,thiM,1
AHQ-14,thiD,1
AHQ-14,thiE,1
AHQ-14,rppH_1,1
AHQ-14,yifK,1
AHQ-14,ydjP,1
AHQ-14,ctpF,1
AHQ-14,deoD,1
AHQ-14,chrR_1,1
AHQ-14,sbnD_1,1
AHQ-14,yycB,1
AHQ-14,pdxI,1
AHQ-14,ecfT_1,1
AHQ-14,ykoD_1,1
AHQ-14,gmuR_1,1
AHQ-14,fabG_1,1
AHQ-14,fixB,1
AHQ-14,folT_1,1
AHQ-14,dhaQ,1
AHQ-14,dhaK,1
AHQ-14,dhaL,1
AHQ-14,dhaM,1
AHQ-14,glpF_1,1
AHQ-14,purR_1,1
AHQ-14,ccpA_1,1
AHQ-14,malL_1,1
AHQ-14,mdxE,1
AHQ-14,glgE,1
AHQ-14,msmX_1,1
AHQ-14,malP_1,1
AHQ-14,gmuE_1,1
AHQ-14,scrB,1
AHQ-14,degA,1
AHQ-14,malL_2,1
AHQ-14,nhaC_1,1
AHQ-14,malL_3,1
AHQ-14,cysB,1
AHQ-14,dppE_2,1
AHQ-14,dppE_3,1
AHQ-14,yiaC,1
AHQ-14,serA,1
AHQ-14,serC,1
AHQ-14,pspA_1,1
AHQ-14,gpr_1,1
AHQ-14,rqcH_1,1
AHQ-14,ackA_1,1
AHQ-14,crcB_1,1
AHQ-14,crcB_2,1
AHQ-14,expZ,1
AHQ-14,ykoD_2,1
AHQ-14,ykoE,1
AHQ-14,bsaA,1
AHQ-14,dkgB,1
AHQ-14,greA_1,1
AHQ-14,nagB,1
AHQ-14,pepD,1
AHQ-14,mtlR,1
AHQ-14,mtlF,1
AHQ-14,mtlD,1
AHQ-14,trxA_1,1
AHQ-14,ndkA,1
AHQ-14,chrR_2,1
AHQ-14,licC_1,1
AHQ-14,dgaE,1
AHQ-14,dgaF,1
AHQ-14,kdgK,1
AHQ-14,cysE,1
AHQ-14,metB,1
AHQ-14,cysM,1
AHQ-14,map,1
AHQ-14,pnuC,1
AHQ-14,treR,1
AHQ-14,treA,1
AHQ-14,vdcB,1
AHQ-14,ywnA_1,1
AHQ-14,betI,1
AHQ-14,mntH_1,1
AHQ-14,ribZ_1,1
AHQ-14,adhR,1
AHQ-14,sasA_1,1
AHQ-14,mprA_1,1
AHQ-14,murR_1,1
AHQ-14,licC_2,1
AHQ-14,brpA,1
AHQ-14,ywaC,1
AHQ-14,smc_1,1
AHQ-14,tag_1,1
AHQ-14,gcvH_1,1
AHQ-14,dinG_1,1
AHQ-14,ackA_2,1
AHQ-14,elaA_1,1
AHQ-14,secB,1
AHQ-14,potD,1
AHQ-14,potB,1
AHQ-14,potA,1
AHQ-14,ytrA_1,1
AHQ-14,ytrB_1,1
AHQ-14,adhE_1,1
AHQ-14,fba,1
AHQ-14,xylP_1,1
AHQ-14,qmcA,1
AHQ-14,pepDA_1,1
AHQ-14,bioY,1
AHQ-14,birA_1,1
AHQ-14,bacF,1
AHQ-14,tagG,1
AHQ-14,btuD_1,1
AHQ-14,ribZ_2,1
AHQ-14,amtB,1
AHQ-14,rpiA_1,1
AHQ-14,mco,1
AHQ-14,accB_1,1
AHQ-14,rihC,1
AHQ-14,hcaB_2,1
AHQ-14,btuD_2,1
AHQ-14,garB_1,1
AHQ-14,glpK_1,1
AHQ-14,glpO,1
AHQ-14,glpF_2,1
AHQ-14,lacA,1
AHQ-14,ybjI_1,1
AHQ-14,rhaR_1,1
AHQ-14,yidA_1,1
AHQ-14,brnQ_1,1
AHQ-14,napA_1,1
AHQ-14,plnA,1
AHQ-14,agrA_1,1
AHQ-14,agrA_2,1
AHQ-14,lagD,1
AHQ-14,lcnD,1
AHQ-14,helD_1,1
AHQ-14,yafV,1
AHQ-14,trpS2,1
AHQ-14,yydK_1,1
AHQ-14,celB,1
AHQ-14,chbC_1,1
AHQ-14,bglA_1,1
AHQ-14,bglK_1,1
AHQ-14,dus_1,1
AHQ-14,gppA_1,1
AHQ-14,mvaA,1
AHQ-14,cobB,1
AHQ-14,metG,1
AHQ-14,mdtL,1
AHQ-14,dtd3,1
AHQ-14,rnmV,1
AHQ-14,rsmA,1
AHQ-14,veg,1
AHQ-14,ispE,1
AHQ-14,znuC,1
AHQ-14,znuB,1
AHQ-14,purR_2,1
AHQ-14,glmU,1
AHQ-14,prs_1,1
AHQ-14,lipL,1
AHQ-14,rpoE,1
AHQ-14,pyrG,1
AHQ-14,serS_1,1
AHQ-14,sdaC,1
AHQ-14,sdhA,1
AHQ-14,murAB,1
AHQ-14,rho,1
AHQ-14,rpmE2,1
AHQ-14,strA,1
AHQ-14,lemA,1
AHQ-14,htpX,1
AHQ-14,murF,1
AHQ-14,cshA,1
AHQ-14,acpS,1
AHQ-14,alr,1
AHQ-14,ndoA,1
AHQ-14,kup_1,1
AHQ-14,ssuB_1,1
AHQ-14,carB_1,1
AHQ-14,carA_1,1
AHQ-14,argC,1
AHQ-14,argJ,1
AHQ-14,argB,1
AHQ-14,argD,1
AHQ-14,arcB,1
AHQ-14,queT,1
AHQ-14,dppE_4,1
AHQ-14,fpaP_1,1
AHQ-14,ldh_1,1
AHQ-14,pth,1
AHQ-14,mfd,1
AHQ-14,murJ_1,1
AHQ-14,ftsL_1,1
AHQ-14,pnp,1
AHQ-14,tilS,1
AHQ-14,hpt,1
AHQ-14,ftsH,1
AHQ-14,hslO,1
AHQ-14,dusB,1
AHQ-14,lysS,1
AHQ-14,dtpT,1
AHQ-14,ybiR,1
AHQ-14,proC,1
AHQ-14,nagA,1
AHQ-14,nagR,1
AHQ-14,tagA,1
AHQ-14,pncB2,1
AHQ-14,nadE,1
AHQ-14,yhgF,1
AHQ-14,hom,1
AHQ-14,thrB,1
AHQ-14,manX_1,1
AHQ-14,sorA,1
AHQ-14,manZ_1,1
AHQ-14,norR,1
AHQ-14,manX_2,1
AHQ-14,manX_3,1
AHQ-14,fabH_1,1
AHQ-14,accC_1,1
AHQ-14,accD_1,1
AHQ-14,accA_1,1
AHQ-14,tagU_1,1
AHQ-14,gpmA_1,1
AHQ-14,pepC,1
AHQ-14,rpiA_2,1
AHQ-14,yjdJ,1
AHQ-14,dut,1
AHQ-14,radA,1
AHQ-14,yacL,1
AHQ-14,gltX,1
AHQ-14,cysS,1
AHQ-14,mrnC,1
AHQ-14,sigH,1
AHQ-14,rpmG3,1
AHQ-14,nusG,1
AHQ-14,rplK,1
AHQ-14,rplA,1
AHQ-14,rplJ,1
AHQ-14,rplL,1
AHQ-14,mprF,1
AHQ-14,yvdD,1
AHQ-14,nrdF2,1
AHQ-14,nrdE2,1
AHQ-14,nrdH,1
AHQ-14,rsmC,1
AHQ-14,tadA_1,1
AHQ-14,dnaX,1
AHQ-14,recR,1
AHQ-14,tmk,1
AHQ-14,darA,1
AHQ-14,yabA,1
AHQ-14,rsmI,1
AHQ-14,galE_1,1
AHQ-14,phnW,1
AHQ-14,phnX,1
AHQ-14,btuD_3,1
AHQ-14,tsaB,1
AHQ-14,mshD_1,1
AHQ-14,rimI,1
AHQ-14,tsaD,1
AHQ-14,yheS_1,1
AHQ-14,rex,1
AHQ-14,MroQ,1
AHQ-14,groS,1
AHQ-14,groL,1
AHQ-14,kimA,1
AHQ-14,tagO,1
AHQ-14,pstS1_1,1
AHQ-14,yigZ,1
AHQ-14,comFA,1
AHQ-14,prs_2,1
AHQ-14,hpf,1
AHQ-14,secA,1
AHQ-14,prfB,1
AHQ-14,minJ,1
AHQ-14,phoP,1
AHQ-14,rcsC,1
AHQ-14,pstS1_2,1
AHQ-14,pstC1,1
AHQ-14,pstA,1
AHQ-14,pstB3_1,1
AHQ-14,pstB3_2,1
AHQ-14,phoU,1
AHQ-14,hprK,1
AHQ-14,lgt,1
AHQ-14,gpsA,1
AHQ-14,gtaB,1
AHQ-14,nox_1,1
AHQ-14,arnC,1
AHQ-14,trxB,1
AHQ-14,pgcA,1
AHQ-14,nox_2,1
AHQ-14,ddpX,1
AHQ-14,tetA,1
AHQ-14,yfbR,1
AHQ-14,uvrB,1
AHQ-14,uvrA_1,1
AHQ-14,luxS,1
AHQ-14,argG,1
AHQ-14,argH,1
AHQ-14,yvcJ,1
AHQ-14,whiA,1
AHQ-14,oppA_2,1
AHQ-14,clpP_1,1
AHQ-14,rpoN1,1
AHQ-14,cggR,1
AHQ-14,gap,1
AHQ-14,pgk,1
AHQ-14,tpiA,1
AHQ-14,eno2,1
AHQ-14,clcA,1
AHQ-14,secG,1
AHQ-14,est,1
AHQ-14,rnr,1
AHQ-14,smpB,1
AHQ-14,mltF_1,1
AHQ-14,artM_1,1
AHQ-14,ywpJ,1
AHQ-14,ung,1
AHQ-14,pta,1
AHQ-14,tsaE,1
AHQ-14,mshD_2,1
AHQ-14,polC_1,1
AHQ-14,exoA,1
AHQ-14,yceM,1
AHQ-14,murB,1
AHQ-14,nhaK_1,1
AHQ-14,dacA_1,1
AHQ-14,cdaR,1
AHQ-14,glmM,1
AHQ-14,glmS,1
AHQ-14,ybiV_1,1
AHQ-14,mro,1
AHQ-14,nfrA1,1
AHQ-14,glpK_2,1
AHQ-14,spxA_1,1
AHQ-14,hsrA_1,1
AHQ-14,ppx,1
AHQ-14,ppk,1
AHQ-14,gppA_2,1
AHQ-14,pbuG_1,1
AHQ-14,pox5_1,1
AHQ-14,ribF_1,1
AHQ-14,pox5_2,1
AHQ-14,fpaP_2,1
AHQ-14,birA_2,1
AHQ-14,oatA_1,1
AHQ-14,pepX,1
AHQ-14,yhdG_1,1
AHQ-14,pdxK,1
AHQ-14,ndx1,1
AHQ-14,gmk_1,1
AHQ-14,zur,1
AHQ-14,mupP,1
AHQ-14,dapX_1,1
AHQ-14,glnQ_1,1
AHQ-14,glnH_1,1
AHQ-14,glnM,1
AHQ-14,glnP,1
AHQ-14,bglG,1
AHQ-14,bglF_1,1
AHQ-14,steT,1
AHQ-14,ohrR,1
AHQ-14,yhhS,1
AHQ-14,hflX,1
AHQ-14,rppH_2,1
AHQ-14,gdx,1
AHQ-14,gpmA_2,1
AHQ-14,gpmA_3,1
AHQ-14,kefB,1
AHQ-14,licT_1,1
AHQ-14,bglF_2,1
AHQ-14,bglH_1,1
AHQ-14,dedA_1,1
AHQ-14,helD_2,1
AHQ-14,coaA,1
AHQ-14,guaA,1
AHQ-14,xerC_1,1
AHQ-14,yybR_1,1
AHQ-14,sotB,1
AHQ-14,smc_2,1
AHQ-14,smc_3,1
AHQ-14,oatA_2,1
AHQ-14,pepN,1
AHQ-14,hsdR,1
AHQ-14,xerC_2,1
AHQ-14,cynR,1
AHQ-14,azoR,1
AHQ-14,asnS_1,1
AHQ-14,asnA,1
AHQ-14,pepDA_2,1
AHQ-14,recQ_1,1
AHQ-14,cobC,1
AHQ-14,aes,1
AHQ-14,xylP_2,1
AHQ-14,murE,1
AHQ-14,lysC,1
AHQ-14,asnB_1,1
AHQ-14,emrB_1,1
AHQ-14,mntR,1
AHQ-14,cspLA,1
AHQ-14,tagU_2,1
AHQ-14,nsrR,1
AHQ-14,alsS,1
AHQ-14,lysP,1
AHQ-14,serS_2,1
AHQ-14,ctsR,1
AHQ-14,clpC_1,1
AHQ-14,rpoB,1
AHQ-14,rpoC,1
AHQ-14,comC,1
AHQ-14,rpsL,1
AHQ-14,rpsG,1
AHQ-14,fus,1
AHQ-14,rpsJ,1
AHQ-14,rplC,1
AHQ-14,rplD,1
AHQ-14,rplW,1
AHQ-14,rplB,1
AHQ-14,rpsS,1
AHQ-14,rplV,1
AHQ-14,rpsC,1
AHQ-14,rplP,1
AHQ-14,rpmC,1
AHQ-14,rpsQ,1
AHQ-14,rplN,1
AHQ-14,rplX,1
AHQ-14,rplE,1
AHQ-14,rpsH,1
AHQ-14,rplF,1
AHQ-14,rplR,1
AHQ-14,rpsE,1
AHQ-14,rpmD,1
AHQ-14,rplO,1
AHQ-14,secY,1
AHQ-14,adk,1
AHQ-14,infA,1
AHQ-14,rpsM,1
AHQ-14,rpsK,1
AHQ-14,rpoA,1
AHQ-14,rplQ,1
AHQ-14,hepT_1,1
AHQ-14,norW,1
AHQ-14,apbE_1,1
AHQ-14,ecfA1,1
AHQ-14,ecfA2,1
AHQ-14,ecfT_2,1
AHQ-14,truA,1
AHQ-14,rplM,1
AHQ-14,rpsI,1
AHQ-14,yjmC_1,1
AHQ-14,tkt_1,1
AHQ-14,aroE_1,1
AHQ-14,aroF,1
